batch,#,section,group,canonical_group,book_id,title,language,final_dates,decision_source,status
Batch1,101,B,አቡነ ዮሴፍ,አቡነ ዮሴፍ,GZ-MEL-111,መልክዐ አቡነ ዮሴፍ በግእዝ,ግእዝ,ግንቦት 19 / Monthly Day 19,Sinksar Canonical,verified
Batch2,5,A,ድርሳነ መስቀል,ቅዱስ መስቀል,GZ-DRS-002,ድርሳነ መስቀል በግእዝ,ግእዝ,"መስከረም 10, መስከረም 17, መስከረም 18, መስከረም 19, መስከረም 25, ኅዳር 8, መጋቢት 10, መጋቢት 27, ሚያዝያ 21, ነሐሴ 12 / Monthly Day 10",Sinksar Canonical Cycle,verified
Batch2,6,A,ድርሳነ መስቀል,ቅዱስ መስቀል,AM-DRS-008,ድርሳነ መስቀል በአማርኛ,አማርኛ,"መስከረም 10, መስከረም 17, መስከረም 18, መስከረም 19, መስከረም 25, ኅዳር 8, መጋቢት 10, መጋቢት 27, ሚያዝያ 21, ነሐሴ 12 / Monthly Day 10",Sinksar Canonical Cycle,verified
Batch2,9,A,ድርሳን ኢያቄም ወሐና,ኢያቄም ወሐና,GZ-DRS-007,ድርሳን ዘቅዱስ ኢያቄም ወቅድስት ሐና በግእዝ,ግእዝ,"መስከረም 7, መስከረም 12, ታኅሣሥ 3, ታኅሣሥ 13, ሚያዝያ 7, ግንቦት 1, ነሐሴ 1, ነሐሴ 7, ኅዳር 11 / Monthly Day 1, 3, 11",Sinksar Canonical Cycle,verified
Batch2,10,A,ድርሳን ኢያቄም ወሐና,ኢያቄም ወሐና,AM-DRS-001,የቅዱስ ኢያቄምና የቅድስት ሐና ድርሳን በአማርኛ,አማርኛ,"መስከረም 7, መስከረም 12, ታኅሣሥ 3, ታኅሣሥ 13, ሚያዝያ 7, ግንቦት 1, ነሐሴ 1, ነሐሴ 7, ኅዳር 11 / Monthly Day 1, 3, 11",Sinksar Canonical Cycle,verified
Batch2,44,A,መልክዐ ቅዱስ መስቀል,ቅዱስ መስቀል,GZ-MEL-051,መልክዐ ቅዱስ መስቀል በግእዝ,ግእዝ,"መስከረም 10, መስከረም 17, መስከረም 18, መስከረም 19, መስከረም 25, ኅዳር 8, መጋቢት 10, መጋቢት 27, ሚያዝያ 21, ነሐሴ 12 / Monthly Day 10",Sinksar Canonical Cycle,verified
Batch2,45,A,መልክዐ ቅዱስ መስቀል,ቅዱስ መስቀል,AM-MEL-012,መልክዐ ቅዱስ መስቀል በአማርኛ,አማርኛ,"መስከረም 10, መስከረም 17, መስከረም 18, መስከረም 19, መስከረም 25, ኅዳር 8, መጋቢት 10, መጋቢት 27, ሚያዝያ 21, ነሐሴ 12 / Monthly Day 10",Sinksar Canonical Cycle,verified
Batch2,46,A,መልክዐ ቅዱስ መስቀል ሣልስ,ቅዱስ መስቀል,GZ-MEL-050,መልክዐ ቅዱስ መስቀል ሣልስ በግእዝ,ግእዝ,"መስከረም 10, መስከረም 17, መስከረም 18, መስከረም 19, መስከረም 25, ኅዳር 8, መጋቢት 10, መጋቢት 27, ሚያዝያ 21, ነሐሴ 12 / Monthly Day 10",Sinksar Canonical Cycle,verified
Batch2,47,A,መልክዐ ቅዱስ መስቀል ሣልስ,ቅዱስ መስቀል,AM-MEL-040,የቅዱስ መስቀል 3ኛ መልክዕ በአማርኛ,አማርኛ,"መስከረም 10, መስከረም 17, መስከረም 18, መስከረም 19, መስከረም 25, ኅዳር 8, መጋቢት 10, መጋቢት 27, ሚያዝያ 21, ነሐሴ 12 / Monthly Day 10",Sinksar Canonical Cycle,verified
Batch2,53,A,መልክዐ ሐራ ድንግል,ሐራ ድንግል,GZ-MEL-021,መልክዐ ሐራ ድንግል በግእዝ,ግእዝ,"ጥር 11, ግንቦት 11 / Monthly Day 11",Sinksar + Verified Combined,verified
Batch2,54,A,መልክዐ ሐራ ድንግል,ሐራ ድንግል,AM-MEL-019,መልክዐ አቡነ ሐራ ድንግል በአማርኛ,አማርኛ,"ጥር 11, ግንቦት 11 / Monthly Day 11",Sinksar + Verified Combined,verified
Batch2,57,A,መልክዐ መርምሕናም,መርምሕናም,GZ-MEL-049,መልክዐ ቅዱስ መርምሕናም በግእዝ,ግእዝ,"ታኅሣሥ 14, ጥር 20",Sinksar 100% Match,verified
Batch2,58,A,መልክዐ መርምሕናም,መርምሕናም,AM-MEL-039,የቅዱስ መርምሕናም መልክዕ በአማርኛ,አማርኛ,"ታኅሣሥ 14, ጥር 20",Sinksar 100% Match,verified
Batch2,59,A,መልክዐ ዕጨጌ ዮሐንስ,ዕጨጌ ዮሐንስ,GZ-MEL-104,መልክዐ አቡነ ዕጨጌ ዮሐንስ በግእዝ,ግእዝ,ሐምሌ 29,Verified Fallback,verified
Batch2,60,A,መልክዐ ዕጨጌ ዮሐንስ,ዕጨጌ ዮሐንስ,AM-MEL-020,መልክዐ አቡነ ዕጨጌ ዮሐንስ በአማርኛ,አማርኛ,ሐምሌ 29,Verified Fallback,verified
Batch2,61,A,መልክዐ አፍጼ,አፍጼ,GZ-MEL-101,መልክዐ አቡነ አፍጼ በግእዝ,ግእዝ,ግንቦት 29,Sinksar 100% Match,verified
Batch2,62,A,መልክዐ አፍጼ,አፍጼ,AM-MEL-024,መልክዐ አፍጼ በአማርኛ,አማርኛ,ግንቦት 29,Sinksar 100% Match,verified
Batch2,90,B,ኢያቄም ወሐና መልክዕ,ኢያቄም ወሐና,GZ-MEL-022,መልክዐ ሐና በግእዝ,ግእዝ,"መስከረም 7, መስከረም 12, ታኅሣሥ 3, ታኅሣሥ 13, ሚያዝያ 7, ግንቦት 1, ነሐሴ 1, ነሐሴ 7, ኅዳር 11 / Monthly Day 1, 3, 11",Sinksar Canonical Cycle,verified
Batch2,91,B,ኢያቄም ወሐና መልክዕ,ኢያቄም ወሐና,GZ-MEL-133,መልክዐ ኢያቄም በግእዝ,ግእዝ,"መስከረም 7, መስከረም 12, ታኅሣሥ 3, ታኅሣሥ 13, ሚያዝያ 7, ግንቦት 1, ነሐሴ 1, ነሐሴ 7, ኅዳር 11 / Monthly Day 1, 3, 11",Sinksar Canonical Cycle,verified
Batch2,102,B,አቡነ ኢየሱስ ሞዐ,ኢየሱስ ሞዐ,AM-GDL-026,ገድለ አቡነ ኢየሱስ ሞዐ በአማርኛ,አማርኛ,ኅዳር 26 / Monthly Day 26,Sinksar 100% Match,verified
Batch2,103,B,አቡነ ኢየሱስ ሞዐ,ኢየሱስ ሞዐ,GZ-MEL-130,መልክዐ ኢየሱስ ሞዐ በግእዝ,ግእዝ,ኅዳር 26 / Monthly Day 26,Sinksar 100% Match,verified
Batch2,104,B,ምክሐ ምእመናን,ምክሐ ምእመናን,GZ-MIK-001,ምክሐ ምእመናን በግእዝ,ግእዝ,ግንቦት 12,Verified (User Confirmed),verified
Batch2,105,B,ምክሐ ምእመናን,ምክሐ ምእመናን,GZ-MIK-002,ምክሓ ምእመናን በግእዝ,ግእዝ,ግንቦት 12,Verified (User Confirmed),verified
Batch2,107,C,መባዓ ጽዮን,መባዓ ጽዮን,AM-GDL-022,የመባዓ ጽዮን ገድል በአማርኛ,አማርኛ,ጥቅምት 27 / Monthly Day 27,Sinksar 100% Match,verified
Batch2,108,C,የሰኔ ጎልጎታ,የሰኔ ጎልጎታ,AM-GOL-001,የሰኔ ጎልጎታ በአማርኛ,አማርኛ,Monthly Day 21,Verified Monthly (User Confirmed),verified
Batch2,111,C,ገድለ ዘርዐ አብርሃም,ዘርዐ አብርሃም,GZ-GDL-013,ገድለ ዘርዐ አብርሃም በግእዝ,ግእዝ,ታኅሣሥ 24,Verified Fallback,verified
Batch2,112,C,ገድለ አቡነ ተክለ ሐዋርያት,ተክለ ሐዋርያት,GZ-GDL-017,ገድለ አቡነ ተክለ ሐዋርያት በግእዝ,ግእዝ,ኅዳር 27,Sinksar 100% Match,verified
Batch2,113,C,ገድለ አቡነ መዝራዕተ ክርስቶስ,መዝራዕተ ክርስቶስ,GZ-GDL-023,ገድለ አቡነ መዝራዕተ ክርስቶስ በግእዝ,ግእዝ,ግንቦት 29,Verified Fallback,verified
Batch2,118,C,መልክዐ አፍኒን,አፍኒን,GZ-MEL-010,መልክዐ ሊቀ መላእክት ቅዱስ አፍኒን በግእዝ,ግእዝ,ኅዳር 8,Sinksar 100% Match,verified
Batch2,119,C,መልክዐ ሕፃን ሞዐ,ሕፃን ሞዐ,GZ-MEL-025,መልክዐ ሕፃን ሞዐ በግእዝ,ግእዝ,ሐምሌ 25,Sinksar Canonical,verified
Batch3,120,C,መልክዐ ቁስቋም,ቁስቋም,GZ-MEL-045,መልክዐ ቁስቋም በግእዝ,ግእዝ,ኅዳር 6 / Monthly Day 6,Sinksar 100% Match,verified
Batch3,121,C,መልክዐ አግናጥዮስ,አግናጥዮስ,GZ-MEL-058,መልክዐ ቅዱስ አግናጥዮስ ምጥው ለአንበሳ በግእዝ,ግእዝ,"ጥቅምት 26, ታኅሣሥ 24, ሐምሌ 1, ሐምሌ 7 / Monthly Day 7",Sinksar Canonical Cycle,verified
Batch3,122,C,መልክዐ ነአኵቶ ለአብ,ነአኵቶ ለአብ,GZ-MEL-071,መልክዐ ነአኵቶ ለአብ በግእዝ,ግእዝ,"ኅዳር 1, ኅዳር 3",Sinksar + Extra,verified
Batch3,123,C,መልክዐ አቡነ ሠምረ ክርስቶስ,ሠምረ ክርስቶስ,GZ-MEL-082,መልክዐ አቡነ ሠምረ ክርስቶስ በግእዝ,ግእዝ,ጥር 20,Verified Fallback,verified
Batch3,124,C,መልክዐ አቡነ ሳሙኤል ሣልስ,ሳሙኤል ሣልስ,GZ-MEL-084,መልክዐ አቡነ ሳሙኤል በግእዝ ሣልስ በግእዝ,ግእዝ,"ጥቅምት 29, ታኅሣሥ 12, ታኅሣሥ 23, ሚያዝያ 12 / Monthly Day 12",Sinksar Canonical Cycle,verified
Batch3,125,C,መልክዐ አቡነ ሴት,ሴት,GZ-MEL-087,መልክዐ አቡነ ሴት በግእዝ,ግእዝ,ኅዳር 24,Verified (User Confirmed),verified
Batch3,126,C,መልክዐ ቡሩከ አምላክ,ቡሩከ አምላክ,GZ-MEL-088,መልክዐ አቡነ ቡሩከ አምላክ ዘደብረ ኮል በግእዝ,ግእዝ,ነሐሴ 14,Verified Fallback,verified
Batch3,127,C,መልክዐ ብፁዓ አምላክ,ብፁዓ አምላክ,GZ-MEL-089,መልክዐ አቡነ ብፁዓ አምላክ ዘደብረ ምዕዋን ወዘደብረ ኰዳዱ በግእዝ,ግእዝ,"ታኅሣሥ 1, ግንቦት 9",Verified (User Confirmed),verified
Batch3,128,C,መልክዐ አብራንዮስ,አብራንዮስ,GZ-MEL-097,መልክዐ አቡነ አብራንዮስ ዘደብር ጥሉል በግእዝ,ግእዝ,"ኅዳር 22, ሰኔ 22",Sinksar Canonical,verified
Batch3,129,C,መልክዐ አቡነ ዮስጢኖስ,ዮስጢኖስ,GZ-MEL-112,መልክዐ አቡነ ዮስጢኖስ በግእዝ,ግእዝ,ነሐሴ 16,Verified Fallback,verified
Batch3,130,C,መልክዐ ጼዋ ለጽድቅ,ጼዋ ለጽድቅ,GZ-MEL-116,መልክዐ አቡነ ጼዋ ለጽድቅ በግእዝ,ግእዝ,ኅዳር 29,Verified Fallback,verified
Batch3,131,C,መልክዐ አባ ኖብ,አባ ኖብ,GZ-MEL-122,መልክዐ አባ ኖብ ሰማዕት በግእዝ,ግእዝ,"መስከረም 18, ኅዳር 7, የካቲት 5, መጋቢት 9, ሰኔ 19, ሰኔ 23, ሐምሌ 24",Sinksar Canonical Cycle,verified
Batch3,132,C,መልክዐ ዓቢየ እግዚእ,ዓቢየ እግዚእ,GZ-MEL-145,መልክዐ ዓቢየ እግዚእ በግእዝ,ግእዝ,"ግንቦት 19, ነሐሴ 10, ነሐሴ 13 / Monthly Day 19",Sinksar + Extra,verified
Batch3,133,C,መልክዐ ጻድቃን ዘባርክናሃ,ዘባርክናሃ,GZ-MEL-160,መልክዐ ጻድቃን ዘባርክናሃ በግእዝ,ግእዝ,ታኅሣሥ 29,Verified Fallback,verified
Batch3,134,C,ጸሎቱ ለጴጥሮስ,ጴጥሮስ,GZ-TSE-007,ጸሎቱ ለጴጥሮስ በግእዝ,ግእዝ,"ታኅሣሥ 1, የካቲት 9, ሰኔ 21, ሐምሌ 5, ነሐሴ 7 / Monthly Day 5",Sinksar Canonical Cycle,verified
