batch,#,section,group,canonical_group,book_id,title,language,final_dates,decision_source,status
Batch5,210,E,ማርያም,እግዝእትነ ማርያም,AM-MTS-001,መጽሐፈ ሜላድ በአማርኛ,አማርኛ,"Monthly Day 21 / Weekly: ሰኞ, ማክሰኞ, ረቡዕ, ሐሙስ, አርብ, ቅዳሜ, እሁድ / Daily: ሁልጊዜ",Sinksar Monthly + Daily Cycle,verified
Batch5,211,E,ማርያም,እግዝእትነ ማርያም,AM-TEA-001,ተአምኆ ቅዱሳን በአማርኛ,አማርኛ,"Monthly Day 21 / Weekly: ሰኞ, ማክሰኞ, ረቡዕ, ሐሙስ, አርብ, ቅዳሜ, እሁድ / Daily: ሁልጊዜ",Sinksar Monthly + Daily Cycle,verified
Batch5,212,E,ማርያም,እግዝእትነ ማርያም,AM-WUD-002,ውዳሴ ማርያም በአማርኛ,አማርኛ,"Monthly Day 21 / Weekly: ሰኞ, ማክሰኞ, ረቡዕ, ሐሙስ, አርብ, ቅዳሜ, እሁድ",Sinksar Monthly + Daily Cycle,verified
Batch5,213,E,ማርያም,እግዝእትነ ማርያም,GZ-ENZ-001,እንዚራ ስብሐት በግእዝ,ግእዝ,"Monthly Day 21 / Weekly: ሰኞ, ማክሰኞ, ረቡዕ, ሐሙስ, አርብ, ቅዳሜ, እሁድ / Daily: ሁልጊዜ",Sinksar Monthly + Daily Cycle,verified
Batch5,214,E,ማርያም,እግዝእትነ ማርያም,GZ-KOH-001,ኆኅተ ብርሃን በግእዝ,ግእዝ,"Monthly Day 21 / Weekly: ሰኞ, ማክሰኞ, ረቡዕ, ሐሙስ, አርብ, ቅዳሜ, እሁድ / Daily: ሁልጊዜ",Sinksar Monthly + Daily Cycle,verified
Batch5,215,E,ማርያም,እግዝእትነ ማርያም,GZ-MTS-003,መጽሐፈ ሜላድ በግእዝ,ግእዝ,"Monthly Day 21 / Weekly: ሰኞ, ማክሰኞ, ረቡዕ, ሐሙስ, አርብ, ቅዳሜ, እሁድ / Daily: ሁልጊዜ",Sinksar Monthly + Daily Cycle,verified
Batch5,216,E,ማርያም,እግዝእትነ ማርያም,GZ-TEA-001,ተአምኆ ቅዱሳን በግእዝ,ግእዝ,"Monthly Day 21 / Weekly: ሰኞ, ማክሰኞ, ረቡዕ, ሐሙስ, አርብ, ቅዳሜ, እሁድ / Daily: ሁልጊዜ",Sinksar Monthly + Daily Cycle,verified
Batch5,217,E,ማርያም,እግዝእትነ ማርያም,GZ-WUD-002,ውዳሴ ማርያም በግእዝ,ግእዝ,"Monthly Day 21 / Weekly: ሰኞ, ማክሰኞ, ረቡዕ, ሐሙስ, አርብ, ቅዳሜ, እሁድ",Sinksar Monthly + Daily Cycle,verified
Batch5,218,E,ማርያም,እግዝእትነ ማርያም,TI-WUD-001,ውዳሴ ማርያም ብትግርኛ,ትግርኛ,"Monthly Day 21 / Weekly: ሰኞ, ማክሰኞ, ረቡዕ, ሐሙስ, አርብ, ቅዳሜ, እሁድ",Sinksar Monthly + Daily Cycle,verified
Batch5,219,E,ኖላዊ ሔር,ኖላዊ ሔር,AM-MEL-001,መልክአ ኖላዊ በአማርኛ,አማርኛ,"ታኅሣሥ 21 / Monthly Day 21 / Weekly: ሰኞ, ማክሰኞ, ረቡዕ, ሐሙስ, አርብ, ቅዳሜ, እሁድ / Daily: ሁልጊዜ",Sinksar 100% Match,verified
