  GZ-MEL-155 | annual=3/7,5/18,6/23,8/23,12/16 | monthly=23 | rows=15
  AM-GDL-013 | annual=1/4,1/29,5/4,9/16,11/27 | monthly=4 | rows=16
  AM-MEL-016 | annual=1/4,1/29,5/4,9/16,11/27 | monthly=4 | rows=16
  AM-MEL-047 | annual=1/4,1/29,5/4,9/16,11/27 | monthly=4 | rows=16
  GZ-MEL-061 | annual=1/4,1/29,5/4,9/16,11/27 | monthly=4 | rows=16
  GZ-MEL-062 | annual=1/4,1/29,5/4,9/16,11/27 | monthly=4 | rows=16
  GZ-MEL-149 | annual=1/4,1/29,5/4,9/16,11/27 | monthly=4 | rows=16
  GZ-MEL-150 | annual=1/4,1/29,5/4,9/16,11/27 | monthly=4 | rows=16
  AM-GDL-009 | annual=1/15,2/17,5/1 | monthly=17 | rows=14
  AM-MEL-045 | annual=1/15,2/17,5/1 | monthly=17 | rows=14
  GZ-GDL-022 | annual=1/15,2/17,5/1 | monthly=17 | rows=14
  GZ-MEL-016 | annual=1/15,2/17,5/1 | monthly=17 | rows=14
  GZ-MEL-017 | annual=1/15,2/17,5/1 | monthly=17 | rows=14
  AM-GDL-015 | annual=3/25,5/25,11/25 | monthly=25 | rows=12
  GZ-GDL-002 | annual=3/25,5/25,11/25 | monthly=25 | rows=12
  GZ-MEL-039 | annual=3/25,5/25,11/25 | monthly=25 | rows=12
  AM-GDL-030 | annual=3/5,3/20,5/12,6/28 | monthly=12,20 | rows=26
  GZ-GDL-030 | annual=3/5,3/20,5/12,6/28 | monthly=12,20 | rows=26
  GZ-GDL-031 | annual=3/5,3/20,5/12,6/28 | monthly=12,20 | rows=26
  GZ-MEL-040 | annual=3/5,3/20,5/12,6/28 | monthly=12,20 | rows=26
  AM-GDL-014 | annual=6/9,8/9 | monthly=9 | rows=12
  GZ-GDL-006 | annual=6/9,8/9 | monthly=9 | rows=12
  GZ-MEL-136 | annual=6/9,8/9 | monthly=9 | rows=12
  TI-GDL-002 | annual=6/9,8/9 | monthly=9 | rows=12
  AM-GDL-012 | annual=4/13,5/13 | monthly=13 | rows=12
  AM-MEL-061 | annual=4/13,5/13 | monthly=13 | rows=12
  GZ-GDL-004 | annual=4/13,5/13 | monthly=13 | rows=12
  GZ-MEL-105 | annual=4/13,5/13 | monthly=13 | rows=12
  TI-GDL-001 | annual=4/13,5/13 | monthly=13 | rows=12
  AM-GDL-023 | annual=5/15,11/19 | monthly=15 | rows=13
  AM-MEL-015 | annual=5/15,11/19 | monthly=15 | rows=13
  GZ-MEL-043 | annual=5/15,11/19 | monthly=15 | rows=13
  GZ-MEL-054 | annual=5/15,11/19 | monthly=15 | rows=13
  AM-GDL-028 | annual=1/5 | monthly=5 | rows=13
  GZ-GDL-024 | annual=1/5 | monthly=5 | rows=13
  GZ-MEL-128 | annual=1/5 | monthly=5 | rows=13
  AM-GDL-019 | annual=8/6 | monthly=6 | rows=13
  AM-MEL-023 | annual=8/6 | monthly=6 | rows=13
  GZ-MEL-127 | annual=8/6 | monthly=6 | rows=13
  AM-GDL-011 | annual=2/6,11/21 | monthly=21 | rows=13
  GZ-GDL-015 | annual=2/6,11/21 | monthly=21 | rows=13
  GZ-MEL-121 | annual=2/6,11/21 | monthly=21 | rows=13
  AM-GDL-021 | annual=4/8,11/8 | monthly=8 | rows=12
  GZ-GDL-016 | annual=4/8,11/8 | monthly=8 | rows=12
  AM-GDL-016 | annual=2/14,5/14 | monthly=14 | rows=12
  GZ-MEL-073 | annual=2/14,5/14 | monthly=14 | rows=12
  AM-GDL-025 | annual=8/9 | monthly=9 | rows=12
  GZ-GDL-008 | annual=8/9 | monthly=9 | rows=12
  AM-GDL-020 | annual=3/17 | monthly=17 | rows=12
  GZ-GDL-003 | annual=3/17 | monthly=17 | rows=12
  AM-MEL-005 | annual=5/8,7/13,7/27,11/14,12/19 | monthly=27 | rows=16
  GZ-MEL-026 | annual=5/8,7/13,7/27,11/14,12/19 | monthly=27 | rows=16
  GZ-HIB-001 | annual=- | monthly=7 | rows=12
  AM-GDL-017 | annual=10/17 | monthly=17 | rows=12
  AM-GDL-027 | annual=11/29 | monthly=- | rows=1
  AM-GDL-010 | annual=3/4,6/12 | monthly=- | rows=2
  AM-MEL-013 | annual=3/15,10/15 | monthly=15 | rows=12
  GZ-MEL-052 | annual=3/15,10/15 | monthly=15 | rows=12
  AM-MEL-017 | annual=2/24 | monthly=24 | rows=12
  GZ-MEL-159 | annual=2/24 | monthly=24 | rows=12
  AM-MEL-018 | annual=6/29,7/29 | monthly=29 | rows=12
  GZ-MEL-066 | annual=6/29,7/29 | monthly=29 | rows=12
  AM-MEL-021 | annual=5/20,9/7,11/16 | monthly=16 | rows=14
  AM-MEL-022 | annual=12/24 | monthly=28 | rows=13
  GZ-MEL-124 | annual=12/24 | monthly=28 | rows=13
  AM-MEL-025 | annual=1/1 | monthly=- | rows=1
  GZ-MEL-129 | annual=1/1 | monthly=- | rows=1
  AM-MEL-027 | annual=6/16 | monthly=16 | rows=12
  GZ-MEL-141 | annual=6/16 | monthly=16 | rows=12
  AM-MEL-030 | annual=12/1,12/2,12/3,12/4,12/5,12/6,12/7,12/8,12/9,12/10,12/11,12/12,12/13,12/14,12/15,12/16 | monthly=- | rows=16
