month,day,kind,position,sinksar_name
7,10,monthly,1,ቅዱስ ናትናኤል ሐዋርያ
7,10,monthly,2,ቅዱስ ኒቆላዎስ ዘሃገረ ሜራ
7,10,monthly,3,ቅዱስ ቆስጠንጢኖስ ጻድቅ ንጉሥ
7,10,monthly,5,ቅዱስ ያዕቆብ ሐዋርያ (ወልደ እልፍዮስ)
7,23,annual,1,ነቢየ እግዚአብሔር ቅዱስ ዳንኤል (የስሙ ትርጏሜ- እግዚአብሔር ፈራጅ ነው ማለት ነው)
7,23,monthly,3,ቅዱስ ሰሎሞን ንጉሠ እስራኤል
7,23,monthly,4,አባ ጢሞቴዎስ ገዳማዊ
7,23,monthly,5,አባ ሳሙኤል
7,23,monthly,6,አባ ስምዖን
7,23,monthly,7,አባ ገብርኤል
7,29,annual,1,ጥንተ ዕለተ ፍጥረት (ዓለም የተፈጠረችበት)
7,29,annual,2,በዓለ ትስብእት (የጌታችን ጽንሰቱ)
7,29,annual,3,ጥንተ በዓለ ትንሳኤ
7,29,annual,4,ዳግም ምጽዐት
7,29,annual,6,ቅዱስ ዻውሎስ ሐዋርያ
7,29,annual,7,ቅዱሳት አንስት (ትንሳኤውን የሰበኩ)
7,29,annual,9,አብርሃ ወአጽብሐ (ጽንሰታቸው)
7,29,annual,10,ቅዱስ ኢያሱ ነቢይ (ጽንሰቱ)
7,29,monthly,2,ቅድስት አርሴማ ድንግል
7,29,monthly,3,ቅዱስ ዼጥሮስ ተፍጻሜተ ሰማዕት
7,29,monthly,4,ቅዱስ ማርቆስ ዘቶርማቅ
8,3,annual,1,ቅዱስ መርቄ ጻድቅ (ክርስቲያናዊ ነጋዴ)
8,3,annual,2,ቅዱስ ዮሐንስ ዘኢየሩሳሌም
8,3,annual,3,አባ ሚካኤል ዘእስክንድርያ
8,3,annual,4,እግዚአብሔር - በእግር የሚራመዱ በክንፍ የሚበሩና በልብ የሚሳቡ በየብስ የሚኖሩ ፍጥረታትን ፈጠረ
8,3,monthly,1,በዓታ ለእግዝእትነ ማርያም ድንግል ወላዲተ አምላክ
8,3,monthly,3,ቅዱሳን ሊቃነ ካህናት አበው (ዘካርያስና ስምዖን)
8,13,annual,1,ቅድስት ዲዮኒስ ዲያቆናዊት (የሐዋርያት ተከታይ የነበረች)
8,13,annual,2,አባ ኢያሱና አባ ዮሴፍ (ሰማዕታት)
