type,book_id,title,detail,sinksar_name,app_notes,shared,coverage,expected
A_annual_vs_monthly,GZ-MEL-054,መልክዐ ቅዱስ ቂርቆስ በግእዝ,3/15,ልደተ ቅዱስ ቂርቆስ,MONTHLY,ቂርቆስ,,
A_annual_vs_monthly,AM-GDL-023,የቅዱስ ቂርቆስና የቅድስት ኢየሉጣ ገድል በአማርኛ,3/15,ብጽዕት ኢየሉጣ,MONTHLY,ኢየሉጣ,,
A_annual_vs_monthly,GZ-MEL-043,መልክዐ ሰማዕት ቅድስት ኢየሉጣ በግእዝ,3/15,ብጽዕት ኢየሉጣ,MONTHLY,ኢየሉጣ,,
A_annual_vs_monthly,AM-MEL-021,መልክዐ አቡነ ዮሐንስ ጻድቅ በአማርኛ,3/16,አባ ዮሐንስ መሐሪ,MONTHLY,ዮሐንስ,,
A_annual_vs_monthly,GZ-MZM-001,መዝሙረ ክርስቶስ በግእዝ,3/29,ቅዱሳን ሰማዕታተ ክርስቶስ (ሁሉም),MONTHLY,ክርስቶስ,,
A_annual_vs_monthly,GZ-MZM-002,መዝሙረ ክርስቶስ ካልዕ በግእዝ,3/29,ቅዱሳን ሰማዕታተ ክርስቶስ (ሁሉም),MONTHLY,ክርስቶስ,,
A_annual_vs_monthly,GZ-MZM-003,መዝሙረ ክርስቶስ ዘመኃልየ መኃልይ። በግእዝ,3/29,ቅዱሳን ሰማዕታተ ክርስቶስ (ሁሉም),MONTHLY,ክርስቶስ,,
A_annual_vs_monthly,AM-MEL-018,መልክዐ ቅድስት ፍቅርተ ክርስቶስ በአማርኛ,3/29,ቅዱሳን ሰማዕታተ ክርስቶስ (ሁሉም),MONTHLY,ክርስቶስ,,
A_annual_vs_monthly,GZ-MEL-066,መልክዐ ቅድስት ፍቅርተ ክርስቶስ በግእዝ,3/29,ቅዱሳን ሰማዕታተ ክርስቶስ (ሁሉም),MONTHLY,ክርስቶስ,,
A_annual_vs_monthly,AM-MEL-048,የቅዱስ ዮሐንስ መጥምቅ መልክዕ በአማርኛ,4/2,"፯,0፫፫ ሰማዕታት (የቅዱስ ፋሲለደስ ማሕበር)",MONTHLY,የቅዱስ,,
A_annual_vs_monthly,AM-MEL-033,የሐዋርያው የቅዱስ ታዴዎስ መልክዕ በአማርኛ,4/2,"፯,0፫፫ ሰማዕታት (የቅዱስ ፋሲለደስ ማሕበር)",MONTHLY,የቅዱስ,,
A_annual_vs_monthly,AM-GDL-007,ገድለ አቡነ ገብረ መንፈስ ቅዱስ በአማርኛ,4/5,አባ ገብረ ናዝራዊ ንጹሕ,MONTHLY,ገብረ,,
A_annual_vs_monthly,GZ-MEL-151,መልክዐ ገብረ መንፈስ ቅዱስ በግእዝ,4/5,አባ ገብረ ናዝራዊ ንጹሕ,MONTHLY,ገብረ,,
A_annual_vs_monthly,GZ-MEL-152,መልክዐ ገብረ መንፈስ ቅዱስ ካልዕ በግእዝ,4/5,አባ ገብረ ናዝራዊ ንጹሕ,MONTHLY,ገብረ,,
