batch,section,group,book_id,title,language,ethiopian_month,ethiopian_day,date_name,expected_is_annual,db_is_annual,kind,flag_match
Batch1,B,አቡነ አቢብ,AM-MEL-003,መልክዐ ለአቡነ አቢብ ጻድቅ በአማርኛ,አማርኛ,3,25,ኅዳር 25,0,0,MONTHLY,YES
Batch1,B,አቡነ አቢብ,AM-MEL-003,መልክዐ ለአቡነ አቢብ ጻድቅ በአማርኛ,አማርኛ,4,25,ታኅሣሥ 25,0,0,MONTHLY,YES
Batch1,B,አቡነ አቢብ,AM-MEL-003,መልክዐ ለአቡነ አቢብ ጻድቅ በአማርኛ,አማርኛ,5,25,ጥር 25,0,0,MONTHLY,YES
Batch1,B,አቡነ አቢብ,AM-MEL-003,መልክዐ ለአቡነ አቢብ ጻድቅ በአማርኛ,አማርኛ,6,25,የካቲት 25,0,0,MONTHLY,YES
Batch1,B,አቡነ አቢብ,AM-MEL-003,መልክዐ ለአቡነ አቢብ ጻድቅ በአማርኛ,አማርኛ,7,25,መጋቢት 25,0,0,MONTHLY,YES
Batch1,B,አቡነ አቢብ,AM-MEL-003,መልክዐ ለአቡነ አቢብ ጻድቅ በአማርኛ,አማርኛ,8,15,ሚያዝያ 15,1,1,ANNUAL,YES
Batch1,B,አቡነ አቢብ,AM-MEL-003,መልክዐ ለአቡነ አቢብ ጻድቅ በአማርኛ,አማርኛ,8,25,ሚያዝያ 25,0,0,MONTHLY,YES
Batch1,B,አቡነ አቢብ,AM-MEL-003,መልክዐ ለአቡነ አቢብ ጻድቅ በአማርኛ,አማርኛ,9,25,ግንቦት 25,0,0,MONTHLY,YES
Batch1,B,አቡነ አቢብ,AM-MEL-003,መልክዐ ለአቡነ አቢብ ጻድቅ በአማርኛ,አማርኛ,10,25,ሰኔ 25,0,0,MONTHLY,YES
Batch1,B,አቡነ አቢብ,AM-MEL-003,መልክዐ ለአቡነ አቢብ ጻድቅ በአማርኛ,አማርኛ,11,25,ሐምሌ 25,0,0,MONTHLY,YES
Batch1,B,አቡነ አቢብ,AM-MEL-003,መልክዐ ለአቡነ አቢብ ጻድቅ በአማርኛ,አማርኛ,12,25,ነሐሴ 25,0,0,MONTHLY,YES
Batch1,B,አቡነ አቢብ,GZ-MEL-095,መልክዐ አቡነ አቢብ በግእዝ,ግእዝ,1,25,መስከረም 25,0,0,MONTHLY,YES
Batch1,B,አቡነ አቢብ,GZ-MEL-095,መልክዐ አቡነ አቢብ በግእዝ,ግእዝ,2,25,ጥቅምት 25,1,1,ANNUAL+MONTHLY,YES
Batch1,B,አቡነ አቢብ,GZ-MEL-095,መልክዐ አቡነ አቢብ በግእዝ,ግእዝ,3,25,ኅዳር 25,0,0,MONTHLY,YES
Batch1,B,አቡነ አቢብ,GZ-MEL-095,መልክዐ አቡነ አቢብ በግእዝ,ግእዝ,4,25,ታኅሣሥ 25,0,0,MONTHLY,YES
Batch1,B,አቡነ አቢብ,GZ-MEL-095,መልክዐ አቡነ አቢብ በግእዝ,ግእዝ,5,25,ጥር 25,0,0,MONTHLY,YES
Batch1,B,አቡነ አቢብ,GZ-MEL-095,መልክዐ አቡነ አቢብ በግእዝ,ግእዝ,6,25,የካቲት 25,0,0,MONTHLY,YES
Batch1,B,አቡነ አቢብ,GZ-MEL-095,መልክዐ አቡነ አቢብ በግእዝ,ግእዝ,7,25,መጋቢት 25,0,0,MONTHLY,YES
Batch1,B,አቡነ አቢብ,GZ-MEL-095,መልክዐ አቡነ አቢብ በግእዝ,ግእዝ,8,15,ሚያዝያ 15,1,1,ANNUAL,YES
Batch1,B,አቡነ አቢብ,GZ-MEL-095,መልክዐ አቡነ አቢብ በግእዝ,ግእዝ,8,25,ሚያዝያ 25,0,0,MONTHLY,YES
Batch1,B,አቡነ አቢብ,GZ-MEL-095,መልክዐ አቡነ አቢብ በግእዝ,ግእዝ,9,25,ግንቦት 25,0,0,MONTHLY,YES
Batch1,B,አቡነ አቢብ,GZ-MEL-095,መልክዐ አቡነ አቢብ በግእዝ,ግእዝ,10,25,ሰኔ 25,0,0,MONTHLY,YES
Batch1,B,አቡነ አቢብ,GZ-MEL-095,መልክዐ አቡነ አቢብ በግእዝ,ግእዝ,11,25,ሐምሌ 25,0,0,MONTHLY,YES
Batch1,B,አቡነ አቢብ,GZ-MEL-095,መልክዐ አቡነ አቢብ በግእዝ,ግእዝ,12,25,ነሐሴ 25,0,0,MONTHLY,YES
Batch1,B,አቡነ አቢብ,GZ-MEL-144,መልክዐ ዐቢብ ካልዕ በግእዝ,ግእዝ,1,25,መስከረም 25,0,0,MONTHLY,YES
Batch1,B,አቡነ አቢብ,GZ-MEL-144,መልክዐ ዐቢብ ካልዕ በግእዝ,ግእዝ,2,25,ጥቅምት 25,1,1,ANNUAL+MONTHLY,YES
Batch1,B,አቡነ አቢብ,GZ-MEL-144,መልክዐ ዐቢብ ካልዕ በግእዝ,ግእዝ,3,25,ኅዳር 25,0,0,MONTHLY,YES
Batch1,B,አቡነ አቢብ,GZ-MEL-144,መልክዐ ዐቢብ ካልዕ በግእዝ,ግእዝ,4,25,ታኅሣሥ 25,0,0,MONTHLY,YES
Batch1,B,አቡነ አቢብ,GZ-MEL-144,መልክዐ ዐቢብ ካልዕ በግእዝ,ግእዝ,5,25,ጥር 25,0,0,MONTHLY,YES
Batch1,B,አቡነ አቢብ,GZ-MEL-144,መልክዐ ዐቢብ ካልዕ በግእዝ,ግእዝ,6,25,የካቲት 25,0,0,MONTHLY,YES
Batch1,B,አቡነ አቢብ,GZ-MEL-144,መልክዐ ዐቢብ ካልዕ በግእዝ,ግእዝ,7,25,መጋቢት 25,0,0,MONTHLY,YES
Batch1,B,አቡነ አቢብ,GZ-MEL-144,መልክዐ ዐቢብ ካልዕ በግእዝ,ግእዝ,8,15,ሚያዝያ 15,1,1,ANNUAL,YES
Batch1,B,አቡነ አቢብ,GZ-MEL-144,መልክዐ ዐቢብ ካልዕ በግእዝ,ግእዝ,8,25,ሚያዝያ 25,0,0,MONTHLY,YES
Batch1,B,አቡነ አቢብ,GZ-MEL-144,መልክዐ ዐቢብ ካልዕ በግእዝ,ግእዝ,9,25,ግንቦት 25,0,0,MONTHLY,YES
Batch1,B,አቡነ አቢብ,GZ-MEL-144,መልክዐ ዐቢብ ካልዕ በግእዝ,ግእዝ,10,25,ሰኔ 25,0,0,MONTHLY,YES
Batch1,B,አቡነ አቢብ,GZ-MEL-144,መልክዐ ዐቢብ ካልዕ በግእዝ,ግእዝ,11,25,ሐምሌ 25,0,0,MONTHLY,YES
Batch1,B,አቡነ አቢብ,GZ-MEL-144,መልክዐ ዐቢብ ካልዕ በግእዝ,ግእዝ,12,25,ነሐሴ 25,0,0,MONTHLY,YES
Batch1,B,አቡነ አቢብ,AM-MEL-059,የአቡነ አቢብ መልክዕ በአማርኛ,አማርኛ,1,25,መስከረም 25,0,0,MONTHLY,YES
Batch1,B,አቡነ አቢብ,AM-MEL-059,የአቡነ አቢብ መልክዕ በአማርኛ,አማርኛ,2,25,ጥቅምት 25,1,1,ANNUAL+MONTHLY,YES
Batch1,B,አቡነ አቢብ,AM-MEL-059,የአቡነ አቢብ መልክዕ በአማርኛ,አማርኛ,3,25,ኅዳር 25,0,0,MONTHLY,YES
Batch1,B,አቡነ አቢብ,AM-MEL-059,የአቡነ አቢብ መልክዕ በአማርኛ,አማርኛ,4,25,ታኅሣሥ 25,0,0,MONTHLY,YES
Batch1,B,አቡነ አቢብ,AM-MEL-059,የአቡነ አቢብ መልክዕ በአማርኛ,አማርኛ,5,25,ጥር 25,0,0,MONTHLY,YES
Batch1,B,አቡነ አቢብ,AM-MEL-059,የአቡነ አቢብ መልክዕ በአማርኛ,አማርኛ,6,25,የካቲት 25,0,0,MONTHLY,YES
Batch1,B,አቡነ አቢብ,AM-MEL-059,የአቡነ አቢብ መልክዕ በአማርኛ,አማርኛ,7,25,መጋቢት 25,0,0,MONTHLY,YES
Batch1,B,አቡነ አቢብ,AM-MEL-059,የአቡነ አቢብ መልክዕ በአማርኛ,አማርኛ,8,15,ሚያዝያ 15,1,1,ANNUAL,YES
Batch1,B,አቡነ አቢብ,AM-MEL-059,የአቡነ አቢብ መልክዕ በአማርኛ,አማርኛ,8,25,ሚያዝያ 25,0,0,MONTHLY,YES
Batch1,B,አቡነ አቢብ,AM-MEL-059,የአቡነ አቢብ መልክዕ በአማርኛ,አማርኛ,9,25,ግንቦት 25,0,0,MONTHLY,YES
Batch1,B,አቡነ አቢብ,AM-MEL-059,የአቡነ አቢብ መልክዕ በአማርኛ,አማርኛ,10,25,ሰኔ 25,0,0,MONTHLY,YES
Batch1,B,አቡነ አቢብ,AM-MEL-059,የአቡነ አቢብ መልክዕ በአማርኛ,አማርኛ,11,25,ሐምሌ 25,0,0,MONTHLY,YES
Batch1,B,አቡነ አቢብ,AM-MEL-059,የአቡነ አቢብ መልክዕ በአማርኛ,አማርኛ,12,25,ነሐሴ 25,0,0,MONTHLY,YES
Batch1,B,ኤልያስ ነቢይ,AM-DRS-005,ድርሳነ ኤልያስ ነቢይ በአማርኛ,አማርኛ,1,6,መስከረም 6,0,0,MONTHLY,YES
Batch1,B,ኤልያስ ነቢይ,AM-DRS-005,ድርሳነ ኤልያስ ነቢይ በአማርኛ,አማርኛ,2,6,ጥቅምት 6,0,0,MONTHLY,YES
Batch1,B,ኤልያስ ነቢይ,AM-DRS-005,ድርሳነ ኤልያስ ነቢይ በአማርኛ,አማርኛ,3,6,ኅዳር 6,0,0,MONTHLY,YES
Batch1,B,ኤልያስ ነቢይ,AM-DRS-005,ድርሳነ ኤልያስ ነቢይ በአማርኛ,አማርኛ,4,1,ታኅሣሥ 1,1,1,ANNUAL,YES
Batch1,B,ኤልያስ ነቢይ,AM-DRS-005,ድርሳነ ኤልያስ ነቢይ በአማርኛ,አማርኛ,4,6,ታኅሣሥ 6,0,0,MONTHLY,YES
Batch1,B,ኤልያስ ነቢይ,AM-DRS-005,ድርሳነ ኤልያስ ነቢይ በአማርኛ,አማርኛ,5,6,ጥር 6,1,1,ANNUAL+MONTHLY,YES
Batch1,B,ኤልያስ ነቢይ,AM-DRS-005,ድርሳነ ኤልያስ ነቢይ በአማርኛ,አማርኛ,6,6,የካቲት 6,0,0,MONTHLY,YES
Batch1,B,ኤልያስ ነቢይ,AM-DRS-005,ድርሳነ ኤልያስ ነቢይ በአማርኛ,አማርኛ,7,6,መጋቢት 6,0,0,MONTHLY,YES
Batch1,B,ኤልያስ ነቢይ,AM-DRS-005,ድርሳነ ኤልያስ ነቢይ በአማርኛ,አማርኛ,8,6,ሚያዝያ 6,0,0,MONTHLY,YES
Batch1,B,ኤልያስ ነቢይ,AM-DRS-005,ድርሳነ ኤልያስ ነቢይ በአማርኛ,አማርኛ,9,6,ግንቦት 6,0,0,MONTHLY,YES
Batch1,B,ኤልያስ ነቢይ,AM-DRS-005,ድርሳነ ኤልያስ ነቢይ በአማርኛ,አማርኛ,10,6,ሰኔ 6,0,0,MONTHLY,YES
Batch1,B,ኤልያስ ነቢይ,AM-DRS-005,ድርሳነ ኤልያስ ነቢይ በአማርኛ,አማርኛ,11,6,ሐምሌ 6,0,0,MONTHLY,YES
Batch1,B,ኤልያስ ነቢይ,AM-DRS-005,ድርሳነ ኤልያስ ነቢይ በአማርኛ,አማርኛ,12,6,ነሐሴ 6,0,0,MONTHLY,YES
Batch1,B,ኤልያስ ነቢይ,AM-DRS-005,ድርሳነ ኤልያስ ነቢይ በአማርኛ,አማርኛ,12,13,ነሐሴ 13,1,1,ANNUAL,YES
Batch1,B,ኤልያስ ነቢይ,AM-DRS-005,ድርሳነ ኤልያስ ነቢይ በአማርኛ,አማርኛ,13,6,ጳጉሜን 6,0,0,MONTHLY,YES
Batch1,B,ኤልያስ ነቢይ,GZ-MEL-134,መልክዐ ኤልያስ በግእዝ,ግእዝ,1,6,መስከረም 6,0,0,MONTHLY,YES
Batch1,B,ኤልያስ ነቢይ,GZ-MEL-134,መልክዐ ኤልያስ በግእዝ,ግእዝ,2,6,ጥቅምት 6,0,0,MONTHLY,YES
Batch1,B,ኤልያስ ነቢይ,GZ-MEL-134,መልክዐ ኤልያስ በግእዝ,ግእዝ,3,6,ኅዳር 6,0,0,MONTHLY,YES
Batch1,B,ኤልያስ ነቢይ,GZ-MEL-134,መልክዐ ኤልያስ በግእዝ,ግእዝ,4,1,ታኅሣሥ 1,1,1,ANNUAL,YES
Batch1,B,ኤልያስ ነቢይ,GZ-MEL-134,መልክዐ ኤልያስ በግእዝ,ግእዝ,4,6,ታኅሣሥ 6,0,0,MONTHLY,YES
Batch1,B,ኤልያስ ነቢይ,GZ-MEL-134,መልክዐ ኤልያስ በግእዝ,ግእዝ,5,6,ጥር 6,1,1,ANNUAL+MONTHLY,YES
Batch1,B,ኤልያስ ነቢይ,GZ-MEL-134,መልክዐ ኤልያስ በግእዝ,ግእዝ,6,6,የካቲት 6,0,0,MONTHLY,YES
Batch1,B,ኤልያስ ነቢይ,GZ-MEL-134,መልክዐ ኤልያስ በግእዝ,ግእዝ,7,6,መጋቢት 6,0,0,MONTHLY,YES
Batch1,B,ኤልያስ ነቢይ,GZ-MEL-134,መልክዐ ኤልያስ በግእዝ,ግእዝ,8,6,ሚያዝያ 6,0,0,MONTHLY,YES
Batch1,B,ኤልያስ ነቢይ,GZ-MEL-134,መልክዐ ኤልያስ በግእዝ,ግእዝ,9,6,ግንቦት 6,0,0,MONTHLY,YES
Batch1,B,ኤልያስ ነቢይ,GZ-MEL-134,መልክዐ ኤልያስ በግእዝ,ግእዝ,10,6,ሰኔ 6,0,0,MONTHLY,YES
Batch1,B,ኤልያስ ነቢይ,GZ-MEL-134,መልክዐ ኤልያስ በግእዝ,ግእዝ,11,6,ሐምሌ 6,0,0,MONTHLY,YES
Batch1,B,ኤልያስ ነቢይ,GZ-MEL-134,መልክዐ ኤልያስ በግእዝ,ግእዝ,12,6,ነሐሴ 6,0,0,MONTHLY,YES
Batch1,B,ኤልያስ ነቢይ,GZ-MEL-134,መልክዐ ኤልያስ በግእዝ,ግእዝ,12,13,ነሐሴ 13,1,1,ANNUAL,YES
Batch1,B,ኤልያስ ነቢይ,GZ-MEL-134,መልክዐ ኤልያስ በግእዝ,ግእዝ,13,6,ጳጉሜን 6,0,0,MONTHLY,YES
Batch1,B,ኤልያስ ነቢይ,GZ-MEL-059,መልክዐ ቅዱስ ኤልያስ ነቢይ ሣልስ በግእዝ,ግእዝ,1,6,መስከረም 6,0,0,MONTHLY,YES
Batch1,B,ኤልያስ ነቢይ,GZ-MEL-059,መልክዐ ቅዱስ ኤልያስ ነቢይ ሣልስ በግእዝ,ግእዝ,2,6,ጥቅምት 6,0,0,MONTHLY,YES
Batch1,B,ኤልያስ ነቢይ,GZ-MEL-059,መልክዐ ቅዱስ ኤልያስ ነቢይ ሣልስ በግእዝ,ግእዝ,3,6,ኅዳር 6,0,0,MONTHLY,YES
Batch1,B,ኤልያስ ነቢይ,GZ-MEL-059,መልክዐ ቅዱስ ኤልያስ ነቢይ ሣልስ በግእዝ,ግእዝ,4,1,ታኅሣሥ 1,1,1,ANNUAL,YES
Batch1,B,ኤልያስ ነቢይ,GZ-MEL-059,መልክዐ ቅዱስ ኤልያስ ነቢይ ሣልስ በግእዝ,ግእዝ,4,6,ታኅሣሥ 6,0,0,MONTHLY,YES
Batch1,B,ኤልያስ ነቢይ,GZ-MEL-059,መልክዐ ቅዱስ ኤልያስ ነቢይ ሣልስ በግእዝ,ግእዝ,5,6,ጥር 6,1,1,ANNUAL+MONTHLY,YES
Batch1,B,ኤልያስ ነቢይ,GZ-MEL-059,መልክዐ ቅዱስ ኤልያስ ነቢይ ሣልስ በግእዝ,ግእዝ,6,6,የካቲት 6,0,0,MONTHLY,YES
Batch1,B,ኤልያስ ነቢይ,GZ-MEL-059,መልክዐ ቅዱስ ኤልያስ ነቢይ ሣልስ በግእዝ,ግእዝ,7,6,መጋቢት 6,0,0,MONTHLY,YES
Batch1,B,ኤልያስ ነቢይ,GZ-MEL-059,መልክዐ ቅዱስ ኤልያስ ነቢይ ሣልስ በግእዝ,ግእዝ,8,6,ሚያዝያ 6,0,0,MONTHLY,YES
Batch1,B,ኤልያስ ነቢይ,GZ-MEL-059,መልክዐ ቅዱስ ኤልያስ ነቢይ ሣልስ በግእዝ,ግእዝ,9,6,ግንቦት 6,0,0,MONTHLY,YES
Batch1,B,ኤልያስ ነቢይ,GZ-MEL-059,መልክዐ ቅዱስ ኤልያስ ነቢይ ሣልስ በግእዝ,ግእዝ,10,6,ሰኔ 6,0,0,MONTHLY,YES
