book_id,language_id,category_id,main_category_id,sub_category_id,subject_category,title,total_chapters,weekday_chapter_count,weekday_chapters,matched_mapped_books,matched_csv_groups,unmapped_cluster
GZ-MEL-077,GZ,MEL,MC-06,SC-06-03,TSADQAN,መልክዐ አቡነ መዝገበ ሥላሴ በግእዝ,1,0,,,,
GZ-MEL-078,GZ,MEL,MC-06,SC-06-03,TSADQAN,መልክዐ አቡነ መድኃኒነ እግዚእ በግእዝ,1,0,,GZ-MEL-145 (እግዚእ) ; GZ-MEL-150 (እግዚእ),,GZ-MEL-100
GZ-MEL-079,GZ,MEL,MC-06,SC-06-03,TSADQAN,መልክዐ አቡነ ሙሴ በግእዝ,1,0,,,,
GZ-MEL-080,GZ,MEL,MC-06,SC-06-03,TSADQAN,መልክዐ አቡነ ማቴዎስ ዘደብረ በርበሬ በግእዝ,1,0,,,,GZ-MEL-081
GZ-MEL-081,GZ,MEL,MC-06,SC-06-03,TSADQAN,መልክዐ አቡነ ማቴዎስ ዘደብረ በርበሬ በግእዝ ካልእ,1,0,,,,GZ-MEL-080
GZ-MEL-083,GZ,MEL,MC-06,SC-06-03,TSADQAN,መልክዐ አቡነ ሰይፈ ሚካኤል በግእዝ,1,0,,AM-SEY-001 (ሰይፈ) ; AM-SEY-002 (ሰይፈ) ; GZ-SEY-001 (ሰይፈ) ; GZ-SEY-002 (ሰይፈ),,
GZ-MEL-090,GZ,MEL,MC-06,SC-06-03,TSADQAN,መልክዐ አቡነ ተንሥአ መድኅን በግእዝ,1,0,,,,
GZ-MEL-093,GZ,MEL,MC-06,SC-06-03,TSADQAN,መልክዐ አቡነ ተክለ አልፋ በግእዝ,1,0,,AM-GDL-004 (ተክለ) ; AM-MEL-057 (ተክለ) ; AM-MEL-058 (ተክለ) ; GZ-GDL-017 (ተክለ) ; GZ-MEL-068 (ተክለ),"አቡነ ተክለ ሃይማኖት [ታኅሣሥ 24, ጥር 24, መጋቢት 24, ሚያዝያ 22, ግንቦት 12, ነሐሴ 24 / Monthly Day 24] (ተክለ)",GZ-MEL-070
GZ-MEL-094,GZ,MEL,MC-06,SC-06-03,TSADQAN,መልክዐ አቡነ ቶማስ ዘዘናቁዴ በግእዝ,1,0,,,,
GZ-MEL-099,GZ,MEL,MC-06,SC-06-03,TSADQAN,መልክዐ አቡነ አብሳዲ ዘደብረ ማርያም በግእዝ,1,0,,,,
GZ-MEL-100,GZ,MEL,MC-06,SC-06-03,TSADQAN,መልክዐ አቡነ አፍቅረነ እግዚእ በግእዝ,1,0,,GZ-MEL-145 (እግዚእ) ; GZ-MEL-150 (እግዚእ),,GZ-MEL-078
GZ-MEL-102,GZ,MEL,MC-06,SC-06-03,TSADQAN,መልክዐ አቡነ እንድርያስ ዘደብረ ስኂን (ፅፉን) በግእዝ,1,0,,AM-MEL-046 (እንድርያስ) ; GZ-MEL-137 (እንድርያስ),"ቅዱስ እንድርያስ [ታኅሣሥ 4, ሐምሌ 30, ነሐሴ 30 / Monthly Day 4] (እንድርያስ) ; ቅዱስ እንድርያስ ሐዋርያ [ታኅሣሥ 4, ሐምሌ 30, ነሐሴ 30 / Monthly Day 4] (እንድርያስ)",GZ-MEL-103
GZ-MEL-103,GZ,MEL,MC-06,SC-06-03,TSADQAN,መልክዐ አቡነ እንድርያስ ዘደብረ ጽጌ በግእዝ,1,0,,AM-MEL-046 (እንድርያስ) ; GZ-MEL-137 (እንድርያስ),"ቅዱስ እንድርያስ [ታኅሣሥ 4, ሐምሌ 30, ነሐሴ 30 / Monthly Day 4] (እንድርያስ) ; ቅዱስ እንድርያስ ሐዋርያ [ታኅሣሥ 4, ሐምሌ 30, ነሐሴ 30 / Monthly Day 4] (እንድርያስ)",GZ-MEL-102
GZ-MEL-107,GZ,MEL,MC-06,SC-06-03,TSADQAN,መልክዐ አቡነ የሐንስ ዘደብረ ቢዘን በግእዝ,1,0,,,,GZ-MEL-120
GZ-MEL-108,GZ,MEL,MC-06,SC-06-03,TSADQAN,መልክዐ አቡነ ይምአታ በግእዝ,1,0,,,,
