batch,section,group,book_id,title,language,final_dates,db_dates,db_annual,db_monthly_days,rows_expected,rows_in_db,match,status,problem
Batch2,A,ቅዱስ መስቀል,GZ-MEL-050,መልክዐ ቅዱስ መስቀል ሣልስ በግእዝ,ግእዝ,"መስከረም 10, መስከረም 17, መስከረም 18, መስከረም 19, መስከረም 25, ኅዳር 8, መጋቢት 10, መጋቢት 27, ሚያዝያ 21, ነሐሴ 12 / Monthly Day 10","መስከረም 10, መስከረም 17, መስከረም 18, መስከረም 19, መስከረም 25, ኅዳር 8, መጋቢት 10, መጋቢት 27, ሚያዝያ 21, ነሐሴ 12 / Monthly Day 10","መስከረም 10, መስከረም 17, መስከረም 18, መስከረም 19, መስከረም 25, ኅዳር 8, መጋቢት 10, መጋቢት 27, ሚያዝያ 21, ነሐሴ 12",10,20,20,YES,PASS,
Batch2,A,ቅዱስ መስቀል,AM-MEL-040,የቅዱስ መስቀል 3ኛ መልክዕ በአማርኛ,አማርኛ,"መስከረም 10, መስከረም 17, መስከረም 18, መስከረም 19, መስከረም 25, ኅዳር 8, መጋቢት 10, መጋቢት 27, ሚያዝያ 21, ነሐሴ 12 / Monthly Day 10","መስከረም 10, መስከረም 17, መስከረም 18, መስከረም 19, መስከረም 25, ኅዳር 8, መጋቢት 10, መጋቢት 27, ሚያዝያ 21, ነሐሴ 12 / Monthly Day 10","መስከረም 10, መስከረም 17, መስከረም 18, መስከረም 19, መስከረም 25, ኅዳር 8, መጋቢት 10, መጋቢት 27, ሚያዝያ 21, ነሐሴ 12",10,20,20,YES,PASS,
Batch2,A,ሐራ ድንግል,GZ-MEL-021,መልክዐ ሐራ ድንግል በግእዝ,ግእዝ,"ጥር 11, ግንቦት 11 / Monthly Day 11","ጥር 11, ግንቦት 11 / Monthly Day 11","ጥር 11, ግንቦት 11",11,12,12,YES,PASS,
Batch2,A,ሐራ ድንግል,AM-MEL-019,መልክዐ አቡነ ሐራ ድንግል በአማርኛ,አማርኛ,"ጥር 11, ግንቦት 11 / Monthly Day 11","ጥር 11, ግንቦት 11 / Monthly Day 11","ጥር 11, ግንቦት 11",11,12,12,YES,PASS,
Batch2,A,መርምሕናም,GZ-MEL-049,መልክዐ ቅዱስ መርምሕናም በግእዝ,ግእዝ,"ታኅሣሥ 14, ጥር 20","ታኅሣሥ 14, ጥር 20","ታኅሣሥ 14, ጥር 20",,2,2,YES,PASS,
Batch2,A,መርምሕናም,AM-MEL-039,የቅዱስ መርምሕናም መልክዕ በአማርኛ,አማርኛ,"ታኅሣሥ 14, ጥር 20","ታኅሣሥ 14, ጥር 20","ታኅሣሥ 14, ጥር 20",,2,2,YES,PASS,
Batch2,A,ዕጨጌ ዮሐንስ,GZ-MEL-104,መልክዐ አቡነ ዕጨጌ ዮሐንስ በግእዝ,ግእዝ,ሐምሌ 29,ሐምሌ 29,ሐምሌ 29,,1,1,YES,PASS,
Batch2,A,ዕጨጌ ዮሐንስ,AM-MEL-020,መልክዐ አቡነ ዕጨጌ ዮሐንስ በአማርኛ,አማርኛ,ሐምሌ 29,ሐምሌ 29,ሐምሌ 29,,1,1,YES,PASS,
Batch2,A,አፍጼ,GZ-MEL-101,መልክዐ አቡነ አፍጼ በግእዝ,ግእዝ,ግንቦት 29,ግንቦት 29,ግንቦት 29,,1,1,YES,PASS,
Batch2,A,አፍጼ,AM-MEL-024,መልክዐ አፍጼ በአማርኛ,አማርኛ,ግንቦት 29,ግንቦት 29,ግንቦት 29,,1,1,YES,PASS,
Batch2,B,ኢያቄም ወሐና,GZ-MEL-022,መልክዐ ሐና በግእዝ,ግእዝ,"መስከረም 7, መስከረም 12, ታኅሣሥ 3, ታኅሣሥ 13, ሚያዝያ 7, ግንቦት 1, ነሐሴ 1, ነሐሴ 7, ኅዳር 11 / Monthly Day 1, 3, 11","መስከረም 7, መስከረም 12, ታኅሣሥ 3, ታኅሣሥ 13, ሚያዝያ 7, ግንቦት 1, ነሐሴ 1, ነሐሴ 7, ኅዳር 11 / Monthly Day 1, 3, 11","መስከረም 7, መስከረም 12, ኅዳር 11, ታኅሣሥ 3, ታኅሣሥ 13, ሚያዝያ 7, ግንቦት 1, ነሐሴ 1, ነሐሴ 7","1, 3, 11",43,43,YES,PASS,
Batch2,B,ኢያቄም ወሐና,GZ-MEL-133,መልክዐ ኢያቄም በግእዝ,ግእዝ,"መስከረም 7, መስከረም 12, ታኅሣሥ 3, ታኅሣሥ 13, ሚያዝያ 7, ግንቦት 1, ነሐሴ 1, ነሐሴ 7, ኅዳር 11 / Monthly Day 1, 3, 11","መስከረም 7, መስከረም 12, ታኅሣሥ 3, ታኅሣሥ 13, ሚያዝያ 7, ግንቦት 1, ነሐሴ 1, ነሐሴ 7, ኅዳር 11 / Monthly Day 1, 3, 11","መስከረም 7, መስከረም 12, ኅዳር 11, ታኅሣሥ 3, ታኅሣሥ 13, ሚያዝያ 7, ግንቦት 1, ነሐሴ 1, ነሐሴ 7","1, 3, 11",43,43,YES,PASS,
Batch2,B,ኢየሱስ ሞዐ,AM-GDL-026,ገድለ አቡነ ኢየሱስ ሞዐ በአማርኛ,አማርኛ,ኅዳር 26 / Monthly Day 26,ኅዳር 26 / Monthly Day 26,ኅዳር 26,26,12,12,YES,PASS,
Batch2,B,ኢየሱስ ሞዐ,GZ-MEL-130,መልክዐ ኢየሱስ ሞዐ በግእዝ,ግእዝ,ኅዳር 26 / Monthly Day 26,ኅዳር 26 / Monthly Day 26,ኅዳር 26,26,12,12,YES,PASS,
Batch2,B,ምክሐ ምእመናን,GZ-MIK-001,ምክሐ ምእመናን በግእዝ,ግእዝ,ግንቦት 12,ግንቦት 12,ግንቦት 12,,1,1,YES,PASS,
Batch2,B,ምክሐ ምእመናን,GZ-MIK-002,ምክሓ ምእመናን በግእዝ,ግእዝ,ግንቦት 12,ግንቦት 12,ግንቦት 12,,1,1,YES,PASS,
Batch2,C,መባዓ ጽዮን,AM-GDL-022,የመባዓ ጽዮን ገድል በአማርኛ,አማርኛ,ጥቅምት 27 / Monthly Day 27,ጥቅምት 27 / Monthly Day 27,ጥቅምት 27,27,12,12,YES,PASS,
Batch2,C,የሰኔ ጎልጎታ,AM-GOL-001,የሰኔ ጎልጎታ በአማርኛ,አማርኛ,Monthly Day 21,Monthly Day 21,,21,12,12,YES,PASS,
Batch2,C,ዘርዐ አብርሃም,GZ-GDL-013,ገድለ ዘርዐ አብርሃም በግእዝ,ግእዝ,ታኅሣሥ 24,ታኅሣሥ 24,ታኅሣሥ 24,,1,1,YES,PASS,
Batch2,C,ተክለ ሐዋርያት,GZ-GDL-017,ገድለ አቡነ ተክለ ሐዋርያት በግእዝ,ግእዝ,ኅዳር 27,ኅዳር 27,ኅዳር 27,,1,1,YES,PASS,
Batch2,C,መዝራዕተ ክርስቶስ,GZ-GDL-023,ገድለ አቡነ መዝራዕተ ክርስቶስ በግእዝ,ግእዝ,ግንቦት 29,ግንቦት 29,ግንቦት 29,,1,1,YES,PASS,
Batch2,C,አፍኒን,GZ-MEL-010,መልክዐ ሊቀ መላእክት ቅዱስ አፍኒን በግእዝ,ግእዝ,ኅዳር 8,ኅዳር 8,ኅዳር 8,,1,1,YES,PASS,
Batch2,C,ሕፃን ሞዐ,GZ-MEL-025,መልክዐ ሕፃን ሞዐ በግእዝ,ግእዝ,ሐምሌ 25,ሐምሌ 25,ሐምሌ 25,,1,1,YES,PASS,
Batch3,C,ቁስቋም,GZ-MEL-045,መልክዐ ቁስቋም በግእዝ,ግእዝ,ኅዳር 6 / Monthly Day 6,ኅዳር 6 / Monthly Day 6,ኅዳር 6,6,13,13,YES,PASS,
Batch3,C,አግናጥዮስ,GZ-MEL-058,መልክዐ ቅዱስ አግናጥዮስ ምጥው ለአንበሳ በግእዝ,ግእዝ,"ጥቅምት 26, ታኅሣሥ 24, ሐምሌ 1, ሐምሌ 7 / Monthly Day 7","ጥቅምት 26, ታኅሣሥ 24, ሐምሌ 1, ሐምሌ 7 / Monthly Day 7","ጥቅምት 26, ታኅሣሥ 24, ሐምሌ 1, ሐምሌ 7",7,15,15,YES,PASS,
Batch3,C,ነአኵቶ ለአብ,GZ-MEL-071,መልክዐ ነአኵቶ ለአብ በግእዝ,ግእዝ,"ኅዳር 1, ኅዳር 3","ኅዳር 1, ኅዳር 3","ኅዳር 1, ኅዳር 3",,2,2,YES,PASS,
Batch3,C,ሠምረ ክርስቶስ,GZ-MEL-082,መልክዐ አቡነ ሠምረ ክርስቶስ በግእዝ,ግእዝ,ጥር 20,ጥር 20,ጥር 20,,1,1,YES,PASS,
Batch3,C,ሳሙኤል ሣልስ,GZ-MEL-084,መልክዐ አቡነ ሳሙኤል በግእዝ ሣልስ በግእዝ,ግእዝ,"ጥቅምት 29, ታኅሣሥ 12, ታኅሣሥ 23, ሚያዝያ 12 / Monthly Day 12","ጥቅምት 29, ታኅሣሥ 12, ታኅሣሥ 23, ሚያዝያ 12 / Monthly Day 12","ጥቅምት 29, ታኅሣሥ 12, ታኅሣሥ 23, ሚያዝያ 12",12,14,14,YES,PASS,
Batch3,C,ሴት,GZ-MEL-087,መልክዐ አቡነ ሴት በግእዝ,ግእዝ,ኅዳር 24,ኅዳር 24,ኅዳር 24,,1,1,YES,PASS,
Batch3,C,ቡሩከ አምላክ,GZ-MEL-088,መልክዐ አቡነ ቡሩከ አምላክ ዘደብረ ኮል በግእዝ,ግእዝ,ነሐሴ 14,ነሐሴ 14,ነሐሴ 14,,1,1,YES,PASS,
Batch3,C,ብፁዓ አምላክ,GZ-MEL-089,መልክዐ አቡነ ብፁዓ አምላክ ዘደብረ ምዕዋን ወዘደብረ ኰዳዱ በግእዝ,ግእዝ,"ታኅሣሥ 1, ግንቦት 9","ታኅሣሥ 1, ግንቦት 9","ታኅሣሥ 1, ግንቦት 9",,2,2,YES,PASS,
Batch3,C,አብራንዮስ,GZ-MEL-097,መልክዐ አቡነ አብራንዮስ ዘደብር ጥሉል በግእዝ,ግእዝ,"ኅዳር 22, ሰኔ 22","ኅዳር 22, ሰኔ 22","ኅዳር 22, ሰኔ 22",,2,2,YES,PASS,
Batch3,C,ዮስጢኖስ,GZ-MEL-112,መልክዐ አቡነ ዮስጢኖስ በግእዝ,ግእዝ,ነሐሴ 16,ነሐሴ 16,ነሐሴ 16,,1,1,YES,PASS,
Batch3,C,ጼዋ ለጽድቅ,GZ-MEL-116,መልክዐ አቡነ ጼዋ ለጽድቅ በግእዝ,ግእዝ,ኅዳር 29,ኅዳር 29,ኅዳር 29,,1,1,YES,PASS,
Batch3,C,አባ ኖብ,GZ-MEL-122,መልክዐ አባ ኖብ ሰማዕት በግእዝ,ግእዝ,"መስከረም 18, ኅዳር 7, የካቲት 5, መጋቢት 9, ሰኔ 19, ሰኔ 23, ሐምሌ 24","መስከረም 18, ኅዳር 7, የካቲት 5, መጋቢት 9, ሰኔ 19, ሰኔ 23, ሐምሌ 24","መስከረም 18, ኅዳር 7, የካቲት 5, መጋቢት 9, ሰኔ 19, ሰኔ 23, ሐምሌ 24",,7,7,YES,PASS,
Batch3,C,ዓቢየ እግዚእ,GZ-MEL-145,መልክዐ ዓቢየ እግዚእ በግእዝ,ግእዝ,"ግንቦት 19, ነሐሴ 10, ነሐሴ 13 / Monthly Day 19","ግንቦት 19, ነሐሴ 10, ነሐሴ 13 / Monthly Day 19","ግንቦት 19, ነሐሴ 10, ነሐሴ 13",19,14,14,YES,PASS,
