batch,section,group,book_id,title,language,final_dates,annual_dates_must_be_1,monthly_days,db_dates_is_annual_1,db_dates_is_annual_0,overlap_annual_plus_monthly_must_be_1,count_1,count_0,rows_expected,rows_in_db,flag_status,problem
Batch1,B,ኤልያስ ነቢይ,GZ-MEL-134,መልክዐ ኤልያስ በግእዝ,ግእዝ,"ታኅሣሥ 1, ጥር 6, ነሐሴ 13 / Monthly Day 6","ታኅሣሥ 1, ጥር 6, ነሐሴ 13",6,"ታኅሣሥ 1, ጥር 6, ነሐሴ 13","መስከረም 6, ጥቅምት 6, ኅዳር 6, ታኅሣሥ 6, የካቲት 6, መጋቢት 6, ሚያዝያ 6, ግንቦት 6, ሰኔ 6, ሐምሌ 6, ነሐሴ 6, ጳጉሜን 6",ጥር 6,3,12,15,15,PASS,
Batch1,B,ኤልያስ ነቢይ,GZ-MEL-059,መልክዐ ቅዱስ ኤልያስ ነቢይ ሣልስ በግእዝ,ግእዝ,"ታኅሣሥ 1, ጥር 6, ነሐሴ 13 / Monthly Day 6","ታኅሣሥ 1, ጥር 6, ነሐሴ 13",6,"ታኅሣሥ 1, ጥር 6, ነሐሴ 13","መስከረም 6, ጥቅምት 6, ኅዳር 6, ታኅሣሥ 6, የካቲት 6, መጋቢት 6, ሚያዝያ 6, ግንቦት 6, ሰኔ 6, ሐምሌ 6, ነሐሴ 6, ጳጉሜን 6",ጥር 6,3,12,15,15,PASS,
Batch1,B,ኤልያስ ነቢይ,AM-MEL-052,የነቢዩ የቅዱስ ኤልያስ 3ኛ መልክዕ በአማርኛ,አማርኛ,"ታኅሣሥ 1, ጥር 6, ነሐሴ 13 / Monthly Day 6","ታኅሣሥ 1, ጥር 6, ነሐሴ 13",6,"ታኅሣሥ 1, ጥር 6, ነሐሴ 13","መስከረም 6, ጥቅምት 6, ኅዳር 6, ታኅሣሥ 6, የካቲት 6, መጋቢት 6, ሚያዝያ 6, ግንቦት 6, ሰኔ 6, ሐምሌ 6, ነሐሴ 6, ጳጉሜን 6",ጥር 6,3,12,15,15,PASS,
Batch1,B,ዮሐንስ መጥምቅ,GZ-MEL-060,መልክዐ ቅዱስ ዮሐንስ መጥምቅ በግእዝ,ግእዝ,"መስከረም 1, መስከረም 2, መስከረም 26, ጥር 11, የካቲት 30, ሚያዝያ 15, ሰኔ 2, ሰኔ 30, ጳጉሜን 1 / Monthly Day 2, 30","መስከረም 1, መስከረም 2, መስከረም 26, ጥር 11, የካቲት 30, ሚያዝያ 15, ሰኔ 2, ሰኔ 30, ጳጉሜን 1","2, 30","መስከረም 1, መስከረም 2, መስከረም 26, ጥር 11, የካቲት 30, ሚያዝያ 15, ሰኔ 2, ሰኔ 30, ጳጉሜን 1","መስከረም 30, ጥቅምት 2, ጥቅምት 30, ኅዳር 2, ኅዳር 30, ታኅሣሥ 2, ታኅሣሥ 30, ጥር 2, ጥር 30, የካቲት 2, መጋቢት 2, መጋቢት 30, ሚያዝያ 2, ሚያዝያ 30, ግንቦት 2, ግንቦት 30, ሐምሌ 2, ሐምሌ 30, ነሐሴ 2, ነሐሴ 30, ጳጉሜን 2","መስከረም 2, የካቲት 30, ሰኔ 2, ሰኔ 30",9,21,30,30,PASS,
Batch1,B,ዮሐንስ መጥምቅ,AM-MEL-048,የቅዱስ ዮሐንስ መጥምቅ መልክዕ በአማርኛ,አማርኛ,"መስከረም 1, መስከረም 2, መስከረም 26, ጥር 11, የካቲት 30, ሚያዝያ 15, ሰኔ 2, ሰኔ 30, ጳጉሜን 1 / Monthly Day 2, 30","መስከረም 1, መስከረም 2, መስከረም 26, ጥር 11, የካቲት 30, ሚያዝያ 15, ሰኔ 2, ሰኔ 30, ጳጉሜን 1","2, 30","መስከረም 1, መስከረም 2, መስከረም 26, ጥር 11, የካቲት 30, ሚያዝያ 15, ሰኔ 2, ሰኔ 30, ጳጉሜን 1","መስከረም 30, ጥቅምት 2, ጥቅምት 30, ኅዳር 2, ኅዳር 30, ታኅሣሥ 2, ታኅሣሥ 30, ጥር 2, ጥር 30, የካቲት 2, መጋቢት 2, መጋቢት 30, ሚያዝያ 2, ሚያዝያ 30, ግንቦት 2, ግንቦት 30, ሐምሌ 2, ሐምሌ 30, ነሐሴ 2, ነሐሴ 30, ጳጉሜን 2","መስከረም 2, የካቲት 30, ሰኔ 2, ሰኔ 30",9,21,30,30,PASS,
Batch1,B,አቡነ ሊባኖስ,GZ-MEL-018,መልክዐ ሊባኖስ በግእዝ,ግእዝ,ጥር 3 / Monthly Day 3,ጥር 3,3,ጥር 3,"መስከረም 3, ጥቅምት 3, ኅዳር 3, ታኅሣሥ 3, የካቲት 3, መጋቢት 3, ሚያዝያ 3, ግንቦት 3, ሰኔ 3, ሐምሌ 3, ነሐሴ 3, ጳጉሜን 3",ጥር 3,1,12,13,13,PASS,
Batch1,B,አቡነ ሊባኖስ,GZ-MEL-074,መልክዐ አቡነ ሊባኖስ ካልእ በግእዝ,ግእዝ,ጥር 3 / Monthly Day 3,ጥር 3,3,ጥር 3,"መስከረም 3, ጥቅምት 3, ኅዳር 3, ታኅሣሥ 3, የካቲት 3, መጋቢት 3, ሚያዝያ 3, ግንቦት 3, ሰኔ 3, ሐምሌ 3, ነሐሴ 3, ጳጉሜን 3",ጥር 3,1,12,13,13,PASS,
Batch1,B,አቡነ ሊባኖስ,AM-MEL-053,የአቡነ ሊባኖስ 2ኛ መልክዕ በአማርኛ,አማርኛ,ጥር 3 / Monthly Day 3,ጥር 3,3,ጥር 3,"መስከረም 3, ጥቅምት 3, ኅዳር 3, ታኅሣሥ 3, የካቲት 3, መጋቢት 3, ሚያዝያ 3, ግንቦት 3, ሰኔ 3, ሐምሌ 3, ነሐሴ 3, ጳጉሜን 3",ጥር 3,1,12,13,13,PASS,
Batch1,B,አቡነ ተከስተ ብርሃን,GZ-MEL-091,መልክዐ አቡነ ተከስተ ብርሃን በግእዝ,ግእዝ,መጋቢት 10,መጋቢት 10,,መጋቢት 10,,,1,0,1,1,PASS,
Batch1,B,አቡነ ተከስተ ብርሃን,AM-MEL-056,የአቡነ ተከስተ ብርሃን መልክዕ በአማርኛ,አማርኛ,መጋቢት 10,መጋቢት 10,,መጋቢት 10,,,1,0,1,1,PASS,
