canonical_group,book_count,books,final_dates,sinksar_monthly_days,sinksar_annual_dates,tselot_rep_dates,unity_pass,missing_vs_verified,extra_vs_verified
አቡነ ሰላማ ከሣቴ ብርሃን (ፍሩሜንጢስ),1,GZ-MEL-038,"ታኅሣሥ 18, ሐምሌ 26",,,"[(4, 18), (11, 26)]",,,
አቡነ ኤዎስጣቴዎስ,1,GZ-MEL-135,መስከረም 18,,,"[(1, 18), (2, 18), (3, 18), (4, 18), (5, 18), (6, 18), (7, 18), (8, 18), (9, 18), (10, 18), (11, 18), (12, 18)]",,,
ሐዋርያት ጴጥሮስ ወጳውሎስ,1,GZ-MEL-158,ሐምሌ 5,,,"[(11, 5)]",,,
ቅዱስ ሱርያል ሊቀ መላእክት,1,GZ-MEL-008,የካቲት 27 / Monthly Day 27,,,"[(1, 27), (2, 27), (3, 27), (4, 27), (5, 27), (6, 27), (7, 27), (8, 27), (9, 27), (10, 27), (11, 27), (12, 27)]",,,
ቅዱሳን ዘመጠራ,1,GZ-MEL-048,ጥቅምት 19,,,"[(2, 19)]",,,
አቡነ አፍቅረነ እግዚእ,1,GZ-MEL-100,ግንቦት 19,,,"[(9, 19)]",,,
አቡነ ሰይፈ ሚካኤል,1,GZ-MEL-083,ጥቅምት 19,,,"[(2, 19)]",,,
አቡነ ይምአታ,1,GZ-MEL-108,ጥቅምት 28,,,"[(2, 28)]",,,
አቡነ ዮናስ ዘደብረ ድኁኃን,1,GZ-MEL-113,"መጋቢት 17, ኅዳር 17",,,"[(3, 17), (7, 17)]",,,
አቡነ የሐንስ ዘደብረ ቢዘን,1,GZ-MEL-107,Monthly Day 13,,,"[(1, 13), (2, 13), (3, 13), (4, 13), (5, 13), (6, 13), (7, 13), (8, 13), (9, 13), (10, 13), (11, 13), (12, 13)]",,,
አባ ጰንጠሌዎን ጻድቅ,1,GZ-MEL-115,ጥቅምት 6,,,"[(2, 6)]",,,
ሠለስቱ ምዕት,1,GZ-MEL-033,ኅዳር 9,,,"[(3, 9)]",,,
አቡነ ተክለ ማርያም ዘይሰመይ መብዓ ጽዮን,1,GZ-MEL-070,ነሐሴ 13,,,"[(12, 13)]",,,
