canonical_group,book_count,books,final_dates,sinksar_monthly_days,sinksar_annual_dates,tselot_rep_dates,unity_pass,missing_vs_verified,extra_vs_verified
ቅዱስ ዑራኤል,4,AM-DRS-006;GZ-DRS-001;GZ-MEL-011;GZ-MEL-012,"ጥር 22, ሐምሌ 21, ሐምሌ 22 / Monthly Day 22",,,"[(1, 22), (2, 22), (3, 22), (4, 22), (5, 22), (6, 22), (7, 22), (8, 22), (9, 22), (10, 22), (11, 21), (11, 22), (12, 22)]",,,
ቅዱስ ራጉኤል,4,AM-DRS-010;AM-MEL-014;GZ-DRS-003;GZ-MEL-007,"መስከረም 1, ጳጉሜ 6 / Monthly Day 1",,,"[(1, 1), (2, 1), (3, 1), (4, 1), (5, 1), (6, 1), (7, 1), (8, 1), (9, 1), (10, 1), (11, 1), (12, 1), (13, 6)]",,,
ቅዱስ ቴዎድሮስ,4,AM-GDL-030;GZ-GDL-030;GZ-GDL-031;GZ-MEL-040,"ኅዳር 5, ኅዳር 20, ጥር 12, የካቲት 28 / Monthly Day 12, 20",,,"[(1, 12), (1, 20), (2, 12), (2, 20), (3, 5), (3, 12), (3, 20), (4, 12), (4, 20), (5, 12), (5, 20), (6, 12), (6, 20), (6, 28), (7, 12), (7, 20), (8, 12), (8, 20), (9, 12), (9, 20), (10, 12), (10, 20), (11, 12), (11, 20), (12, 12), (12, 20)]",,,
አቡነ እስትንፋሰ ክርስቶስ,4,AM-GDL-014;GZ-GDL-006;GZ-MEL-136;TI-GDL-002,"የካቲት 9, ሚያዝያ 9 / Monthly Day 9",,,"[(1, 9), (2, 9), (3, 9), (4, 9), (5, 9), (6, 9), (7, 9), (8, 9), (9, 9), (10, 9), (11, 9), (12, 9)]",,,
ቅዱስ ቂርቆስና ኢየሉጣ,4,AM-GDL-023;AM-MEL-015;GZ-MEL-043;GZ-MEL-054,"ጥር 15, ሐምሌ 19 / Monthly Day 15",,,"[(1, 15), (2, 15), (3, 15), (4, 15), (5, 15), (6, 15), (7, 15), (8, 15), (9, 15), (10, 15), (11, 15), (11, 19), (12, 15)]",,,
ፍልሰተ ማርያም,4,AM-MEL-030;AM-SEL-001;GZ-SEL-001;GZ-MEL-163,"ነሐሴ 1 - 16 (ጾመ ፍልሠታ ሙሉ ፲፮ ቀናት: ነሐሴ 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16)",,,"[(12, 1), (12, 2), (12, 3), (12, 4), (12, 5), (12, 6), (12, 7), (12, 8), (12, 9), (12, 10), (12, 11), (12, 12), (12, 13), (12, 14), (12, 15), (12, 16)]",,,
አቡነ ሳሙኤል ዘዋልድባ,4,AM-MEL-054;AM-MEL-055;GZ-MEL-085;GZ-MEL-086,ታኅሣሥ 12 / Monthly Day 12,,,"[(1, 12), (2, 12), (3, 12), (4, 12), (5, 12), (6, 12), (7, 12), (8, 12), (9, 12), (10, 12), (11, 12), (12, 12)]",,,
ማኅየዊ,3,AM-DRS-007;AM-MEL-007;GZ-MEL-029,"Weekly: ረቡዕ, አርብ",,,[],,,
አባ ጊዮርጊስ ዘጋሥጫ,3,AM-GDL-001;GZ-GDL-007;GZ-MEL-123,ሐምሌ 7 / Monthly Day 7,,,"[(1, 7), (2, 7), (3, 7), (4, 7), (5, 7), (6, 7), (7, 7), (8, 7), (9, 7), (10, 7), (11, 7), (12, 7)]",,,
ቅድስት ክርስቶስ ሠምራ,3,AM-GDL-005;GZ-GDL-019;GZ-MEL-143,"መስከረም 24, ግንቦት 12, ነሐሴ 24 / Monthly Day 24",,,"[(1, 24), (2, 24), (3, 24), (4, 24), (5, 24), (6, 24), (7, 24), (8, 24), (9, 12), (9, 24), (10, 24), (11, 24), (12, 24)]",,,
አቡነ ገብረ መንፈስ ቅዱስ,3,AM-GDL-007;GZ-MEL-151;GZ-MEL-152,"ጥቅምት 5, ታኅሣሥ 29, መጋቢት 5, መጋቢት 29 / Monthly Day 5",,,"[(1, 5), (2, 5), (3, 5), (4, 5), (4, 29), (5, 5), (6, 5), (7, 5), (7, 29), (8, 5), (9, 5), (10, 5), (11, 5), (12, 5)]",,,
ቅድስት አርሴማ,3,AM-GDL-008;GZ-GDL-033;GZ-MEL-042,"መስከረም 29, ታኅሣሥ 6, ሰኔ 17 / Monthly Day 6",,,"[(1, 6), (1, 29), (2, 6), (3, 6), (4, 6), (5, 6), (6, 6), (7, 6), (8, 6), (9, 6), (10, 6), (10, 17), (11, 6), (12, 6)]",,,
ቅዱስ መርቆሬዎስ,3,AM-GDL-015;GZ-GDL-002;GZ-MEL-039,"ኅዳር 25, ጥር 25, ሐምሌ 25 / Monthly Day 25",,,"[(1, 25), (2, 25), (3, 25), (4, 25), (5, 25), (6, 25), (7, 25), (8, 25), (9, 25), (10, 25), (11, 25), (12, 25)]",,,
አቡነ አሮን መንክራዊ,3,AM-GDL-028;GZ-GDL-024;GZ-MEL-128,መስከረም 5 / Monthly Day 5,,,"[(1, 5), (2, 5), (3, 5), (4, 5), (5, 5), (6, 5), (7, 5), (8, 5), (9, 5), (10, 5), (11, 5), (12, 5)]",,,
አዳም ወሔዋን,3,AM-GDL-019;AM-MEL-023;GZ-MEL-127,ሚያዝያ 6 / Monthly Day 6,,,"[(1, 6), (2, 6), (3, 6), (4, 6), (5, 6), (6, 6), (7, 6), (8, 6), (9, 6), (10, 6), (11, 6), (12, 6)]",,,
አቡነ በጸሎተ ሚካኤል,3,AM-GDL-011;GZ-GDL-015;GZ-MEL-121,"ጥቅምት 6, ሐምሌ 21 / Monthly Day 21",,,"[(1, 21), (2, 6), (2, 21), (3, 21), (4, 21), (5, 21), (6, 21), (7, 21), (8, 21), (9, 21), (10, 21), (11, 21), (12, 21)]",,,
መልክዐ ሥዕል,3,AM-MEL-032;GZ-MEL-037;TI-MEL-001,"መስከረም 26, ኅዳር 5 / Monthly Day 21",,,"[(1, 21), (1, 26), (2, 21), (3, 5), (3, 21), (4, 21), (5, 21), (6, 21), (7, 21), (8, 21), (9, 21), (10, 21), (11, 21), (12, 21)]",,,
ቅዱስ ማርቆስ ወንጌላዊ,3,AM-MEL-042;GZ-MEL-030;GZ-MEL-053,"ጥቅምት 30, ሚያዝያ 30 / Monthly Day 30",,,"[(1, 30), (2, 30), (3, 30), (4, 30), (5, 30), (6, 30), (7, 30), (8, 30), (9, 30), (10, 30), (11, 30), (12, 30)]",,,
ቅዱስ ሩፋኤል ሊቀ መላእክት,3,AM-MEL-043;GZ-DRS-009;GZ-MEL-006,ጳጉሜ 3 / Monthly Day 13,,,"[(1, 13), (2, 13), (3, 13), (4, 13), (5, 13), (6, 13), (7, 13), (8, 13), (9, 13), (10, 13), (11, 13), (12, 13), (13, 3)]",,,
ዜና ሐዋርያት,3,AM-ZNA-003;GZ-GDL-032;GZ-MEL-023,"ሐምሌ 5, ነሐሴ 15",,,"[(11, 5), (12, 15)]",,,
ሰንበት,2,AM-DRS-002;GZ-MEL-044,"Weekly: ቅዳሜ, እሁድ",,,[],,,
