eth_date,day_id,saint_name,saint_core,kind,status,books_on_correct_date,all_books_exist,mapped_dates_in_tselot
3-9,69,አባ መልከ ጼዴቅ ዘሚዳ,መልከ ጼዴቅ ዘሚዳ,monthly,CORRECT,AM-MEL-068:የአቡነ መልከ ጼዴቅ መልክእ በአማርኛ | GZ-MEL-075:መልክዐ አቡነ መልከ ጼዴቅ በግእዝ,AM-MEL-068:የአቡነ መልከ ጼዴቅ መልክእ በአማርኛ | GZ-MEL-002:መልከዐ ማርያም ዳግሚት በግእዝ | GZ-MEL-003:መልከዐ አቡነ ሊቃኖስ በግእዝ | GZ-MEL-075:መልክዐ አቡነ መልከ ጼዴቅ በግእዝ,"1-9, 1-9, 1-21, 2-9, 2-9, 2-21, 3-9, 3-9, 3-21, 3-28"
3-9,69,ቅዱስ ዞሲማስ ጻድቅ,ዞሲማስ,monthly,CORRECT,GZ-GDL-008:ገድለ ቅዱስ ዞሲማስ በግእዝ | AM-GDL-025:ገድለ ቅዱስ ዞሲማስ በአማርኛ,GZ-GDL-008:ገድለ ቅዱስ ዞሲማስ በግእዝ | AM-GDL-025:ገድለ ቅዱስ ዞሲማስ በአማርኛ,"1-9, 1-9, 2-9, 2-9, 3-9, 3-9, 4-9, 4-9, 5-9, 5-9"
3-10,70,ቅድስት ሶፍያ ሰማዕት,ሶፍያ,annual,NO_BOOK,,,
3-10,70,ደናግለ ሮሜ (ሰማዕታት),ደናግለ ሮሜ,annual,NO_BOOK,,,
3-10,70,ቅዱስ ዻውሎስ ሰማዕት,ዻውሎስ,annual,NO_BOOK,,,
3-10,70,ቅዱስ ድሜጥሮስ ሊቅ,ድሜጥሮስ ሊቅ,annual,NO_BOOK,,,
3-10,70,ጉቡዓን ኤዺስ ቆዾሳት,ጉቡዓን ኤዺስ ቆዾሳት,annual,NO_BOOK,,,
3-10,70,ቅዱስ ናትናኤል ሐዋርያ,ናትናኤል,monthly,NO_BOOK,,,
3-10,70,ቅዱስ ኒቆላዎስ ዘሃገረ ሜራ,ኒቆላዎስ ዘሃገረ ሜራ,monthly,NO_BOOK,,,
3-10,70,አቡነ መልክዐ ክርስቶስ,መልክዐ ክርስቶስ,monthly,WRONG_DATE,,GZ-MEL-143:መልክዐ ክርስቶስ ሠምራ በግእዝ,"1-24, 2-24, 3-24, 4-24, 5-24, 6-24, 7-24, 8-24, 9-12, 9-24"
3-10,70,ቅዱስ ያዕቆብ ሐዋርያ (ወልደ እልፍዮስ),ያዕቆብ ሐዋርያ,monthly,WRONG_DATE,,AM-MEL-022:መልክዐ አብርሃም ይሥሐቅ ያዕቆብ በአማርኛ | AM-MEL-033:የሐዋርያው የቅዱስ ታዴዎስ መልክዕ በአማርኛ | AM-MEL-046:የቅዱስ እንድርያስ ሐዋርያ መልክዕ በአማርኛ | GZ-MEL-023:መልክዐ ሐዋርያት በግእዝ | GZ-MEL-124:መልክዐ አብርሃም ይሥሐቅ ወያዕቆብ በግእዝ | GZ-MEL-137:መልክዐ እንድርያስ ሐዋርያ በግእዝ | GZ-GDL-017:ገድለ አቡነ ተክለ ሐዋርያት በግእዝ | GZ-GDL-032:መጽሐፈ ገድለ ቅዱሳን ሐዋርያት በግእዝ | AM-ZNA-003:ዜና ሐዋርያት በአማርኛ,"1-2, 1-4, 1-4, 1-28, 1-28, 2-2, 2-4, 2-4, 2-28, 2-28"
3-10,70,ቅድስት ዕሌኒ ንግስት,ዕሌኒ ንግስት,monthly,NO_BOOK,,,
3-10,70,ታላቁ ቅዱስ ቆስጠንጢኖስ,ታላቁ ቅዱስ ቆስጠንጢኖስ,monthly,NO_BOOK,,,
3-10,70,ቅዱስ እፀ መስቀል,እፀ መስቀል,monthly,CORRECT,AM-MEL-012:መልክዐ ቅዱስ መስቀል በአማርኛ | AM-MEL-040:የቅዱስ መስቀል 3ኛ መልክዕ በአማርኛ | GZ-MEL-050:መልክዐ ቅዱስ መስቀል ሣልስ በግእዝ | GZ-MEL-051:መልክዐ ቅዱስ መስቀል በግእዝ | GZ-DRS-002:ድርሳነ መስቀል በግእዝ | AM-DRS-008:ድርሳነ መስቀል በአማርኛ,AM-MEL-004:መልክዐ ሕማማተ መስቀል በአማርኛ | AM-MEL-012:መልክዐ ቅዱስ መስቀል በአማርኛ | AM-MEL-040:የቅዱስ መስቀል 3ኛ መልክዕ በአማርኛ | AM-TSE-001:የመስቀል አጥር ጸሎት በአማርኛ | AM-WUD-001:ውዳሴ መስቀል በአማርኛ | GZ-HAT-001:ሐፁረ መስቀል በግእዝ | GZ-MEL-024:መልክዐ ሕማማተ መስቀል በግእዝ | GZ-MEL-050:መልክዐ ቅዱስ መስቀል ሣልስ በግእዝ | GZ-MEL-051:መልክዐ ቅዱስ መስቀል በግእዝ | GZ-WUD-001:ውዳሴ መስቀል በግእዝ | GZ-DRS-002:ድርሳነ መስቀል በግእዝ | AM-DRS-008:ድርሳነ መስቀል በአማርኛ,"None-None, None-None, None-None, None-None, None-None, None-None, 1-10, 1-10, 1-10, 1-10"
3-11,71,ቅድስት ሐና ቡርክት,ሐና ቡርክት,annual,NO_BOOK,,,
3-11,71,ቅዱስ አርኬላዎስ ሰማዕት,አርኬላዎስ,annual,NO_BOOK,,,
3-11,71,አባ ኤልሳዕ አበ ምኔት,ኤልሳዕ አበ ምኔት,annual,NO_BOOK,,,
3-11,71,አባ ዻኩሚስ መነኮስ,ዻኩሚስ መነኮስ,annual,NO_BOOK,,,
3-11,71,ቅዱስ ሚናስ ሰማዕት,ሚናስ,annual,WRONG_DATE,,AM-MEL-013:መልክዐ ቅዱስ ሚናስ በአማርኛ | GZ-MEL-052:መልክዐ ቅዱስ ሚናስ በግእዝ,"1-15, 1-15, 2-15, 2-15, 3-15, 3-15, 4-15, 4-15, 5-15, 5-15"
3-11,71,ቅድስት አውራንያ (የሰማዕቱ እናት),አውራንያ,annual,NO_BOOK,,,
3-11,71,ቅዱስ ያሬድ ካህን,ያሬድ ካህን,monthly,CORRECT,GZ-MEL-146:መልክዐ ያሬድ በግእዝ | GZ-MEL-147:መልክዐ ያሬድ ካልዕ በግእዝ | GZ-GDL-021:ድርሳን ወገድል ዘቅዱስ ያሬድ በግእዝ,GZ-MEL-146:መልክዐ ያሬድ በግእዝ | GZ-MEL-147:መልክዐ ያሬድ ካልዕ በግእዝ | GZ-GDL-021:ድርሳን ወገድል ዘቅዱስ ያሬድ በግእዝ,"1-11, 1-11, 1-11, 2-11, 2-11, 2-11, 3-11, 3-11, 3-11, 4-11"
3-11,71,ማር ገላውዴዎስ ሰማዕት,ማር ገላውዴዎስ,monthly,WRONG_DATE,,GZ-ZNA-002:ዜናሁ ለንጉሥ ገላውዴዎስ በግእዝ,7-27
3-11,71,ቅዱስ ፋሲለደስ ሰማዕት,ፋሲለደስ,monthly,CORRECT,GZ-MEL-041:መልክዐ ሰማዕት ቅዱስ ፋሲለደስ በግእዝ,GZ-MEL-041:መልክዐ ሰማዕት ቅዱስ ፋሲለደስ በግእዝ,"1-11, 2-11, 3-11, 4-11, 5-11, 6-11, 7-11, 8-11, 9-11, 10-11"
3-11,71,አቡነ ሐራ ድንግል ጻድቅ,ሐራ ድንግል,monthly,CORRECT,AM-MEL-019:መልክዐ አቡነ ሐራ ድንግል በአማርኛ | GZ-MEL-021:መልክዐ ሐራ ድንግል በግእዝ,AM-MEL-019:መልክዐ አቡነ ሐራ ድንግል በአማርኛ | GZ-MEL-021:መልክዐ ሐራ ድንግል በግእዝ,"1-11, 1-11, 2-11, 2-11, 3-11, 3-11, 4-11, 4-11, 5-11, 5-11"
3-12,72,ቅዱስ ሚካኤል ሊቀ መላእክት,ሚካኤል ሊቀ መላእክት,annual,CORRECT,AM-MEL-006:መልክዐ ሚካኤል በአማርኛ | AM-MEL-041:የቅዱስ ሚካኤል 3ኛ መልክዕ በአማርኛ | GZ-MEL-004:መልክዐ ሊቀ መላእክት ቅዱስ ሚካኤል ሣልስ በግእዝ | GZ-MEL-005:መልክዐ ሊቀ መላእክት ቅዱስ ሚካኤል ካልዕ በግእዝ | GZ-MEL-009:መልክዐ ሊቀ መላእክት ቅዱስ በግእዝ | GZ-MEL-165:መልክዐ ሊቀ መላእክት ቅዱስ ሚካኤል ካልዕ በግእ | GZ-DRS-008:ድርሳነ ሚካኤል በግእዝ | AM-DRS-009:ድርሳነ ሚካኤል በአማርኛ,AM-DIR-001:የሰባቱ ሊቃነ መላእክት ድርሳን በአማርኛ | AM-MEL-006:መልክዐ ሚካኤል በአማርኛ | AM-MEL-038:የቅዱሳን አእላፍ መላእክት 2ኛ መልክዕ በአማርኛ | AM-MEL-041:የቅዱስ ሚካኤል 3ኛ መልክዕ በአማርኛ | GZ-MEL-004:መልክዐ ሊቀ መላእክት ቅዱስ ሚካኤል ሣልስ በግእዝ | GZ-MEL-005:መልክዐ ሊቀ መላእክት ቅዱስ ሚካኤል ካልዕ በግእዝ | GZ-MEL-006:መልክዐ ሊቀ መላእክት ቅዱስ ሩፋኤል በግእዝ | GZ-MEL-007:መልክዐ ሊቀ መላእክት ቅዱስ ራጉኤል በግእዝ | GZ-MEL-008:መልክዐ ሊቀ መላእክት ቅዱስ ሱርያል በግእዝ | GZ-MEL-009:መልክዐ ሊቀ መላእክት ቅዱስ በግእዝ | GZ-MEL-010:መልክዐ ሊቀ መላእክት ቅዱስ አፍኒን በግእዝ | GZ-MEL-011:መልክዐ ሊቀ መላእክት ቅዱስ ዑራኤል በግእዝ | GZ-MEL-012:መልክዐ ሊቀ መላእክት ቅዱስ ዑራኤል ካልእ በግእዝ | GZ-MEL-013:መልክዐ ሊቀ መላእክት ቅዱስ ገብርኤል በግእዝ | GZ-MEL-014:መልክዐ ሊቀ መላእክት ቅዱስ ገብርኤል ካልዕ (ደቅስዮስ) በግእዝ | GZ-MEL-015:መልክዐ ሊቀ መላእክት ቅዱስ ፋኑኤል በግእዝ | GZ-MEL-083:መልክዐ አቡነ ሰይፈ ሚካኤል በግእዝ | GZ-MEL-121:መልክዐ አባ በጸሎተ ሚካኤል በግእዝ | GZ-MEL-125:መልክዐ አእላፍ መላእክት በግእዝ | GZ-MEL-126:መልክዐ አእላፍ መላእክት ካልእ በግእዝ | GZ-MEL-165:መልክዐ ሊቀ መላእክት ቅዱስ ሚካኤል ካልዕ በግእ | AM-GDL-011:ገድለ አቡነ በጸሎተ ሚካኤል በአማርኛ | GZ-GDL-015:ገድለ አቡነ በጸሎተ ሚካኤል በግእዝ | GZ-DRS-008:ድርሳነ ሚካኤል በግእዝ | AM-DRS-009:ድርሳነ ሚካኤል በአማርኛ | GZ-GDL-034:ገድለ አቡነ ፍሬ ሚካኤል በግእዝ,"1-1, 1-3, 1-9, 1-9, 1-9, 1-9, 1-9, 1-9, 1-9, 1-12"
3-12,72,ቅዱስ ኢያሱ ነቢይ,ኢያሱ,annual,NO_BOOK,,,
3-12,72,ቅዱሳን ዱራታኦስና ቴዎብስታ,ዱራታኦስና ቴዎብስታ,annual,NO_BOOK,,,
