book_id,title,saint_core,sinksar_correct_dates,tselot_current_dates,missing_dates_to_add,extra_dates_to_remove,status
AM-GDL-005,ገድለ ቅድስት ክርስቶስ ሠምራ በአማርኛ,ክርስቶስ ሠምራ,"[(1, 12), (1, 24), (2, 12), (2, 24), (3, 12), (3, 24), (4, 12), (4, 24), (6, 12), (6, 24), (7, 12), (7, 24), (8, 12), (8, 24), (9, 24), (10, 12), (10, 24), (11, 12), (11, 24), (12, 12), (12, 24)]","[(1, 24), (2, 24), (3, 24), (4, 24), (5, 24), (6, 24), (7, 24), (8, 24), (9, 12), (9, 24), (10, 24), (11, 24), (12, 24)]","[(1, 12), (2, 12), (3, 12), (4, 12), (6, 12), (7, 12), (8, 12), (10, 12), (11, 12), (12, 12)]","[(5, 24), (9, 12)]",MISMATCH
GZ-GDL-019,ገድለ ቅድስት ክርስቶስ ሠምራ በግእዝ,ክርስቶስ ሠምራ,"[(1, 12), (1, 24), (2, 12), (2, 24), (3, 12), (3, 24), (4, 12), (4, 24), (6, 12), (6, 24), (7, 12), (7, 24), (8, 12), (8, 24), (9, 24), (10, 12), (10, 24), (11, 12), (11, 24), (12, 12), (12, 24)]","[(1, 24), (2, 24), (3, 24), (4, 24), (5, 24), (6, 24), (7, 24), (8, 24), (9, 12), (9, 24), (10, 24), (11, 24), (12, 24)]","[(1, 12), (2, 12), (3, 12), (4, 12), (6, 12), (7, 12), (8, 12), (10, 12), (11, 12), (12, 12)]","[(5, 24), (9, 12)]",MISMATCH
AM-TEA-003,ተአምኆ ዘሥሉስ ቅዱስ መልክዕ በአማርኛ,ሥሉስ ቅዱስ,"[(1, 7), (2, 7), (3, 7), (4, 7), (6, 7), (7, 7), (8, 7), (10, 7), (12, 7)]",[],"[(1, 7), (2, 7), (3, 7), (4, 7), (6, 7), (7, 7), (8, 7), (10, 7), (12, 7)]",[],MISMATCH
AM-TEA-002,ተአምኆ ዘሥሉስ ቅዱስ በአማርኛ,ሥሉስ ቅዱስ,"[(1, 7), (2, 7), (3, 7), (4, 7), (6, 7), (7, 7), (8, 7), (10, 7), (12, 7)]",[],"[(1, 7), (2, 7), (3, 7), (4, 7), (6, 7), (7, 7), (8, 7), (10, 7), (12, 7)]",[],MISMATCH
GZ-MEL-034,መልክዐ ሥሉስ ቅዱስ በግእዝ,ሥሉስ ቅዱስ,"[(1, 7), (2, 7), (3, 7), (4, 7), (6, 7), (7, 7), (8, 7), (10, 7), (12, 7)]","[(5, 7)]","[(1, 7), (2, 7), (3, 7), (4, 7), (6, 7), (7, 7), (8, 7), (10, 7), (12, 7)]","[(5, 7)]",MISMATCH
GZ-MEL-079,መልክዐ አቡነ ሙሴ በግእዝ,ሙሴ,"[(1, 14), (5, 14), (6, 14), (7, 14), (8, 14), (9, 14), (10, 14), (11, 14), (12, 14)]","[(1, 4)]","[(1, 14), (5, 14), (6, 14), (7, 14), (8, 14), (9, 14), (10, 14), (11, 14), (12, 14)]","[(1, 4)]",MISMATCH
GZ-TEA-002,ተአምኆ ዘሥሉስ ቅዱስ በግእዝ,ሥሉስ ቅዱስ,"[(1, 7), (2, 7), (3, 7), (4, 7), (6, 7), (7, 7), (8, 7), (10, 7), (12, 7)]",[],"[(1, 7), (2, 7), (3, 7), (4, 7), (6, 7), (7, 7), (8, 7), (10, 7), (12, 7)]",[],MISMATCH
GZ-TEA-003,ተአምኆ ዘሥሉስ ቅዱስ በግእዝ ካልእ,ሥሉስ ቅዱስ,"[(1, 7), (2, 7), (3, 7), (4, 7), (6, 7), (7, 7), (8, 7), (10, 7), (12, 7)]",[],"[(1, 7), (2, 7), (3, 7), (4, 7), (6, 7), (7, 7), (8, 7), (10, 7), (12, 7)]",[],MISMATCH
AM-ZNA-002,ዜና አበው በአማርኛ,አበው,"[(1, 28), (2, 28), (3, 28), (6, 28), (8, 28), (9, 28), (10, 28), (11, 28)]","[(3, 4), (5, 26)]","[(1, 28), (2, 28), (3, 28), (6, 28), (8, 28), (9, 28), (10, 28), (11, 28)]","[(3, 4), (5, 26)]",MISMATCH
GZ-MEL-138,መልክዐ እንጦንዮስ በግእዝ,እንጦንዮስ,"[(1, 25), (6, 22), (7, 22), (8, 22), (9, 22), (10, 22)]","[(5, 22), (7, 6), (11, 22)]","[(1, 25), (6, 22), (7, 22), (8, 22), (9, 22), (10, 22)]","[(5, 22), (7, 6), (11, 22)]",MISMATCH
